stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,15.73,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,2,0,2,3,0,0,0,0,0
 24-34,0,0,2.46,0,0,2.46,0,0,1.64,0,0,0,1.64,0,0,0,0,7.39,0,4.1,55,0.82,0,0.82,0,4.93,0,0.82,8.21,0,0,1.64,0,0
 36-46,0,0,0,0,0,4.03,0,0,1.61,0,0,0,0,0.81,0,0,2.42,1.61,1.61,0.81,15.31,0,0,0,0,0.81,0,0,7.25,0,0,0,0,0.81
 48-58,0,0,2.3,0,0,4.59,0.57,0,1.15,0,0,0,0,2.3,0,0,4.59,8.03,0.57,2.87,15.49,0,0,0,0,2.3,0,0,4.59,0,0,0,0,4.02
 60-70,0,0,0,0,0,3.93,0,0,2.94,0,0,0,0,1.96,0,0,3.93,5.89,0,0,8.83,0,0,0,0,0.98,0,0,0.98,0,0,0,0,5.89
 72-82,0,0,1.96,0,0,4.91,0,0,5.89,0,1.96,0,0,9.82,0.98,0,1.96,16.69,0,0,13.74,0,0,0,0,6.87,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,3.19,1.06,0,5.31,0,0,2.12,1.06,0,1.06,0,9.56,0,1.06,15.93,13.81,1.06,0,8.5,1.06,0,1.06,0,9.56,0,0,1.06,0,0,0,0,4.25
 96-106,0,0,1.09,0,0,6.56,1.09,0,2.19,0,0,0,0,12.02,1.09,0,5.46,12.02,0,0,10.93,0,0,1.09,0,8.74,0,0,1.09,0,0,1.09,0,2.19
108-118,0,0,4.6,0,0.77,4.6,0.77,0.77,0.77,0.77,1.53,1.53,0,19.15,0,0,9.96,10.72,0.77,0.77,7.66,0,0,0,0,6.89,0,0,0,0.77,0.77,0.77,0,3.83
120,0,0,3.92,0,1.96,3.92,1.96,0,3.92,0,0,0,0,3.92,0,0,5.88,1.96,0,0,3.92,0,1.96,0,0,1.96,0,0,0,0,1.96,1.96,0,0
