stage,axial,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,281.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,28.92,2.63,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,1,0,0,0,0,1,0,2,14,2,0,3,1,3,3,6,0,0,0
 24-34,0,0,0.82,2.46,0,0,0.82,0,0,0,0,1.64,0,0,19.7,0.82,1.64,0,1.64,0,0,4.93,0,0,0.82
 36-46,0,0,0,2.42,0,0,1.61,0,0,0,0,2.42,0,0,24.98,0,0,0,0,0,0,6.45,0,0,0
 48-58,0,0,0,6.89,0,0,0,0,0,0,0,4.02,0,0.57,13.77,0,0,0,1.15,0,0,5.74,0,0.57,0
 60-70,0,0,0,18.65,0,1.96,5.89,0,0,0,0,9.82,0,0,53.98,0,0,0,0,0,0,7.85,0,0,0
 72-82,0,0,0.98,8.83,0,0,3.93,0,0.98,0,0,8.83,0,0,23.56,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,1.06,2.12,1.06,1.06,0,2.12,0,1.06,0,2.12,1.06,1.06,7.43,0,0,0,2.12,0,0,1.06,0,1.06,0
 96-106,0,0,0,2.19,0,0,0,0,0,1.09,0,1.09,0,1.09,3.28,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,6.89,0,0,0,0,0,1.53,0,3.06,0,0,4.6,0,0,0,0,0,0,0.77,0.77,0,0
120,0,0,0,0,0,0,1.96,0,0,0,1.96,3.92,0,0,11.76,0,0,0,0,0,0,1.96,0,0,0
