stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,56.65,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604.22,0,0,0,18.88,0,0,3.15,6.29,0,0,6.29,0,0,0,0,0
 14-21,0,0,1,9,1,0,61,0,0,0,1,0,0,4,0,0,52,18,0,0,2,367,0,0,168,2,1,0,3,1,1,2,129,0,0,0,0,46
 24-34,0,0,0,7.39,0,0,27.91,0,0,0,0,0,0,14.78,0.82,0,104.25,29.55,0,0,2.46,183.87,1.64,0.82,160.07,0,1.64,0,0,0.82,0,1.64,20.52,0,0,0.82,0,136.26
 36-46,0,0,0,0,0,0,20.95,0,0,0,19.34,0,0,18.53,0,0,59.62,25.78,0,0,1.61,123.27,0.81,1.61,100.71,0,0.81,0,0,0.81,0.81,0,13.7,0,0,0,0,86.21
 48-58,0.57,0,0,0.57,0.57,0,41.89,0,0,0,71.73,0,0,38.44,0,0.57,47.05,129.68,0,0,2.3,144.6,0.57,0.57,111.32,0,0,0,0,0,0,0,12.62,0,0,0.57,0,70
 60-70,0,0,0,3.93,0,0,54.97,0,0.98,0.98,128.58,0,0,59.87,0,0,22.58,240.47,0,0,2.94,119.75,0,0,87.36,0,0,0,0,0,0,0,4.91,0,0,0,0,50.06
 72-82,0,0,0,4.91,0,0,40.25,0,0,0,229.71,0.98,0.98,51.05,0.98,0.98,26.5,283.7,0,0,0,143.32,0,0.98,112.89,0,0.98,0.98,0,0,0,0,2.94,1.96,0.98,0,0,43.19
 84-94,0,0,0,3.19,1.06,0,44.61,0,0,0,120.01,0,0,35.05,0,0,39.3,195.41,0,3.19,1.06,104.08,0,0,125.32,0,1.06,0,0,0,0,0,1.06,1.06,0,1.06,2.12,39.3
 96-106,0,0,0,4.37,2.19,1.09,44.81,0,1.09,0,171.58,0,1.09,34.97,0,0,27.32,108.19,0,1.09,0,79.78,0,0,146.44,0,4.37,0,0,0,0,0,0,1.09,0,0,0,48.09
108-118,0,0,0,3.83,0.77,0.77,44.43,0.77,0.77,0,151.66,0,0.77,55.92,0.77,0,23.74,72.77,0.77,0,0.77,66.64,0.77,0,136.34,0,0,0,0,0,0,0,0,0,1.53,0.77,0,49.79
120,1.96,0,0,7.84,1.96,0,19.6,0,1.96,0,154.82,0,0,43.12,1.96,1.96,9.8,80.35,0,0,0,68.59,0,1.96,109.75,0,3.92,0,0,0,0,0,0,0,0,1.96,0,31.36
