stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
 14-21,1,3,0,0,0,3,1,0,0,0,0,3,1,4,0,0,1,2,5,11,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,0.82,3.28,0,0,0,0,0,4.1,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,0.81,0,2.42,0,0,0,0,0.81,1.61,0
 48-58,0,0,0.57,0,0,0.57,0,0,0,0,0,0.57,0,2.87,0,0.57,0,0,0,1.72,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0.98,3.93,0.98
 72-82,0,0,0,3.93,0,2.94,0,0,0,0,0,0.98,0,5.89,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,3.19,0,0,0,0,0,1.06,0,2.12,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,2.19,1.09,0,0,0,0,0,0,1.09,0,3.28,0,0,0,0,0,1.09,1.09
108-118,0,0,0,1.53,0,3.06,0,0.77,0.77,0,0,1.53,0,3.06,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0
