stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,1,0,0,0,1,0,3,6,0,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,1.64,0,0,0.82,1.64,0,0,0.82,0.82,0,1.64,0.82,0,1.64,27.91,0.82,0,0.82,0,0,1.64,0,0,0,6.57,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,4.83,0.81,0,0,0.81,0,0,0,0,0,2.42,0,0,1.61,25.78,0,0,0.81,0,0,2.42,0,0,0,8.86,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,0.57,5.74,0,0,1.15,4.02,0,0,0,0,0,2.87,0,0,0.57,34.43,0,0,0.57,0,0,0.57,0,0.57,0,5.16,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,10.8,0,0.98,0.98,0.98,0,0.98,0,0,0,7.85,0,0,0,29.45,0,0,0.98,0,0,0.98,0,0,0,5.89,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,8.83,0,0,0,4.91,0,0,0.98,0,0,7.85,0,0,2.94,26.5,0,0.98,0,0,0.98,0,0,0,0,2.94,0,0.98,0,0.98,0.98
 84-94,0,0,1.06,0,2.12,0,2.12,1.06,0,0,3.19,1.06,0,1.06,0,0,8.5,0,2.12,2.12,6.37,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,3.28,0,0,0,2.19,0,0,0,0,1.09,5.46,0,0,1.09,9.84,0,0,0,0,0,5.46,0,0,0,1.09,1.09,1.09,0,0,0
108-118,0,0,0,0,1.53,0,3.06,0,0,0.77,1.53,0,0,0,0,0,3.06,0,0,1.53,9.19,0,0,0.77,0,0,2.3,0,0,0,0.77,0,0,0.77,0,0
120,0,0,0,0,7.84,0,7.84,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
