stage,erythrocytes,eye,immune,ionocyte,lateral_line,mesenchyme,neural,otic,periderm,spinal_cord,vasculature
 14-21,0,0,1,0,0,0,0,0,0,0,1
 24-34,0,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,11.28,0,0.81,0,0,0,0.81,0.81,1.61
 48-58,0,0,25.82,0,0,0,1.15,0.57,0,0,3.44
 60-70,0,0,31.41,0,0,0,0,0,0.98,0,6.87
 72-82,0,0,32.39,0,0,0,0,0,0,0,4.91
 84-94,1.06,0,48.85,0,0,0,1.06,0,0,0,7.43
 96-106,1.09,1.09,81.96,1.09,0,2.19,1.09,1.09,1.09,0,10.93
108-118,0,0,55.15,0,0,0.77,1.53,0,0,0,7.66
120,0,0,50.95,0,0,0,0,0,0,0,15.68
