stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,13,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,20
 24-34,0.82,0,0.82,0,0,0,41.86,0,0,0,0.82,2.46,1.64,4.1,0.82,0,0,0,0,1.64,0.82,0,0,0,76.34
 36-46,0,0,0,0,0,0,59.62,0,0,0,1.61,5.64,0.81,6.45,2.42,0,0,0,0,0.81,3.22,0,0,0,78.15
 48-58,1.15,0,6.31,0,1.15,0,65.99,1.72,0,0,5.16,4.59,0,6.89,0,0,0,0,0.57,0,3.44,0.57,0,0,96.97
 60-70,0.98,0,6.87,0,0.98,0,91.28,0.98,0,0,0,2.94,0,10.8,0,0,0,0.98,1.96,0,0.98,0,0,0,100.12
 72-82,0,0.98,10.8,1.96,0.98,0,102.09,0,0,0,0,3.93,0.98,7.85,0.98,0,0,0,0,0,0,0,0,0.98,101.11
 84-94,0,2.12,19.12,0,0,0,142.31,3.19,0,0,1.06,6.37,1.06,4.25,0,0,0,1.06,0,0,0,0,1.06,0,109.39
 96-106,1.09,0,16.39,0,3.28,0,156.28,1.09,1.09,0,1.09,1.09,0,7.65,0,0,0,2.19,2.19,0,0,0,1.09,1.09,101.63
108-118,0.77,1.53,5.36,0,0.77,0,128.68,1.53,0,0.77,0,1.53,0.77,6.13,0,0.77,0.77,0,1.53,0,0.77,0,0.77,0,144.77
120,0,0,3.92,0,5.88,1.96,199.9,0,0,0,0,1.96,0,9.8,0,0,0,0,0,1.96,0,0,0,0,54.87
