stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,gut,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,26.36,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
 24-34,0,0,7.39,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0.82,0,2.46,0,0,0,1.64,0,0.82,0,0
 36-46,0,0,8.86,0,0.81,0,0,0.81,0,0,0.81,0,0,0,0,0,0,1.61,0,0,0,4.03,0,1.61,0,0.81
 48-58,0,0,8.03,0,0,0,0,0.57,0,0,0,0.57,0,0,0,0,0,2.3,0,0.57,0,1.72,0,0.57,0,0
 60-70,0,0,3.93,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
 72-82,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,3.93,0,0,0,0.98,7.85,0,0.98,0.98
 84-94,0,0,7.43,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0,2.12,0,0,0,2.12,32.92,0,0,0
 96-106,0,0,9.84,1.09,1.09,0,0,0,1.09,0,0,0,0,2.19,0,0,0,2.19,0,0,0,4.37,22.95,0,1.09,0
108-118,0,0,13.02,2.3,0,0.77,0.77,0.77,0.77,0,0,0,0.77,0.77,0,0,0,3.06,0,0,0,1.53,36,0,0.77,0
120,0,0,5.88,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,1.96,1.96,0,0,1.96,29.4,0,0,0
