stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,10.51,7.89,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,25.18,31.47,0,0,37.76,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,1,2,17,4,0,0,0,0,1,2,0,0,0,1,0,0,24,0,0,12,9,9,0,1,4,0,0,7,1,1,10,0,0,1,0,0
 24-34,0,0,0,0.82,4.1,1.64,3.28,0,0,0.82,3.28,0,0,0,0,0,0,0.82,39.4,0,0,10.67,8.21,0,0,0,0,1.64,0,0,0.82,0.82,14.78,0,0,0.82,0,0
 36-46,0,0,0,1.61,1.61,0,0.81,0,0,3.22,0,1.61,0,0.81,0,0,0,0,71.7,0,0.81,15.31,7.25,1.61,0,0.81,0,0,0,0,1.61,0,8.06,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.15,0,0,6.31,0.57,0,0,1.15,0,0,0,0,148.62,0,2.3,14.35,7.46,2.87,0.57,0,0,0,0,0,1.72,0,7.46,0,0,0.57,0,0
 60-70,0,0,0,0,3.93,0,6.87,0.98,0.98,8.83,0,0,0,0,0,0,0,0.98,263.05,0,2.94,15.7,5.89,2.94,0,0,0,0,4.91,0,0.98,0,3.93,0,0.98,0,0.98,0.98
 72-82,0,0,0,0,1.96,0.98,16.69,0,0,12.76,3.93,0,0,1.96,0,0.98,0.98,0,584.09,0,3.93,22.58,16.69,0.98,0.98,0.98,0,0.98,0.98,0,1.96,0,3.93,0,4.91,0.98,0.98,0
 84-94,0,0,0,0,4.25,1.06,13.81,0,0,12.74,1.06,0,0,0,0,0,0,0,380.21,0,5.31,20.18,5.31,2.12,0,0,0,0,0,0,1.06,0,1.06,0,1.06,0,0,0
 96-106,0,0,0,0,3.28,2.19,13.11,0,0,12.02,4.37,0,0,2.19,1.09,0,0,1.09,436.05,1.09,7.65,21.86,22.95,2.19,5.46,1.09,0,1.09,1.09,0,3.28,0,7.65,2.19,4.37,0,4.37,0
108-118,0,0,0,0,3.83,0,10.72,0,0.77,12.26,0.77,1.53,0,0,0.77,0.77,0,0,379.15,0,1.53,11.49,19.92,2.3,0,0,0,1.53,0,0,0.77,0,1.53,1.53,0,0,1.53,0
120,0,0,0,0,3.92,0,11.76,0,0,5.88,0,0,0,0,0,1.96,0,1.96,280.25,0,3.92,11.76,19.6,1.96,0,0,0,0,3.92,0,1.96,0,0,1.96,1.96,1.96,0,0
