stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,0,0,5.26,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,3.15,6.29,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,17,0,0,0,0,0,13,0,3,1,0,1,2,0,0,13,4,0,1,0,180,1,1,0,0,0
 24-34,0,0,0,0,7.39,0,0,0,0.82,0,16.42,0,11.49,4.1,0,1.64,10.67,0,0,7.39,0.82,22.98,2.46,0,105.07,0,0,0.82,1.64,0
 36-46,0,0,0,0,1.61,0,1.61,0,0,0,5.64,0,9.67,7.25,0,0,25.78,0,0,0.81,0,18.53,0,0,20.95,0,0,1.61,0,0
 48-58,0,0,0,0,2.3,0,2.3,0.57,1.15,0,5.74,0,10.33,3.44,0,0.57,18.36,0,0,2.3,0,11.48,1.15,0,3.44,0,0,0.57,0.57,0
 60-70,0,0,0.98,0,10.8,0,10.8,0.98,0,0,0,0,14.72,6.87,0,1.96,14.72,0,0,7.85,0,11.78,0.98,0,10.8,0,0,0,0,0
 72-82,0,0,1.96,0,20.61,0,18.65,0,0,8.83,0.98,0,51.05,30.43,0,2.94,41.23,1.96,0.98,13.74,0,14.72,0.98,0,9.82,0,0,0.98,0,0
 84-94,0,0,0,0,62.66,0,9.56,0,0,10.62,3.19,0,84.96,47.79,1.06,2.12,46.73,0,0,2.12,0,62.66,2.12,0,30.8,0,0,0,0,0
 96-106,0,0,1.09,0,86.33,2.19,12.02,2.19,0,16.39,0,0,143.16,57.92,0,4.37,46.99,1.09,1.09,17.49,0,85.24,2.19,0,28.41,0,0,0,0,1.09
108-118,0.77,0,0,0,96.51,0,4.6,0,1.53,12.26,0,0.77,115.66,56.68,0,3.83,37.53,0,0,9.96,0,65.11,1.53,0,16.85,0,0,0,0,1.53
120,0,0,0,0,37.24,0,3.92,0,0,7.84,0,0,66.63,23.52,0,0,23.52,0,0,15.68,0,25.48,0,0,13.72,0,0,0,0,0
