stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,iridophores,liver,mesenchyme,muscle,neural,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,spinal.cord
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
 24-34,0,0,0,0,2.46,0,0,0,0.82,0,0,0,0,0,2.46,0,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,1.61,0,0,0,1.61,0,0,1.61,0,0,0.81
 48-58,0,0,0,0,1.15,0.57,0,0,0,0,0.57,0,0,0.57,1.15,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0.98,1.96,0,0,0.98,0,0,0,1.96,1.96,0.98,0,0,0,0.98,0,0,0
 84-94,0,0,1.06,0,6.37,0,0,1.06,0,0,1.06,1.06,1.06,1.06,1.06,0,0,1.06,0,0,0
 96-106,0,0,1.09,2.19,4.37,0,0,1.09,0,1.09,0,0,0,2.19,2.19,0,1.09,2.19,0,0,0
108-118,0,0,1.53,0.77,6.89,0,0.77,1.53,0,0,0,0,1.53,0,0.77,0,0,3.06,0,0.77,0
120,0,0,0,1.96,5.88,0,0,0,0,0,0,0,3.92,0,3.92,0,0,1.96,0,0,0
