stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,1.64,0,0,1.64,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0,0,0,0,4.83,0,0,0,0,1.61,0.81
 48-58,0,0,0,0,0,1.15,0,0,0.57,0,0,0,0,0,0,0,0,3.44,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,1.96,0,0,2.94,0,0,19.63,0,0.98,0.98,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.94,0,0.98,18.65,0,0,29.45,0,0.98,2.94,0,0.98,4.91,0,0,0.98,0,0,0
 84-94,0,0,0,0,0,3.19,0,0,33.99,0,0,16.99,0,1.06,2.12,0,0,3.19,0,0,2.12,0,0,0
 96-106,0,1.09,0,0,0,3.28,1.09,0,120.21,0,0,7.65,0,17.49,1.09,1.09,0,25.14,0,0,1.09,1.09,0,0
108-118,1.53,0,0.77,0,0.77,3.06,0,0,179.24,0,0,9.19,0.77,27.57,1.53,0,0,20.68,0.77,0,4.6,3.06,0,0
120,0,0,0,0,0,0,0,0,121.51,0,0,3.92,0,33.32,0,0,0,23.52,0,0,0,0,0,1.96
