stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
 14-21,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,14,1,0,0,0,1,0,34,0,0,0
 24-34,14.78,0.82,0.82,0,1.64,0,0,0,0.82,0,0,0,0,0,0.82,0.82,0.82,0,0,0,363.64,0,24.63,10.67,0,0,0,0,0,84.55,0,0,0
 36-46,11.28,0,0.81,0,17.72,0.81,0,0,4.03,0,0,0,0,0,0.81,0,2.42,0,0,0.81,984.53,0,26.59,5.64,0,0,0,0,0.81,127.3,0,0,0
 48-58,7.46,0,3.44,0,43.61,0,0,0,7.46,1.15,0,0,0,0,1.72,0,3.44,0.57,0,1.15,947.93,0,13.2,8.03,0.57,0.57,0,0.57,0,107.3,0,0,3.44
 60-70,10.8,0,3.93,0,84.41,0,0,0,24.54,3.93,0,0.98,0,0,0.98,0.98,6.87,0,0,0.98,1342.72,0,13.74,9.82,0,0.98,0,0,0,113.86,0,0,1.96
 72-82,48.1,0,7.85,0,118.78,0,0,0.98,29.45,11.78,0,0,0,0.98,8.83,0,13.74,0,0,2.94,1240.82,0,24.54,18.65,0,0.98,0,0,0,76.57,1.96,0.98,1.96
 84-94,39.3,0,7.43,0,125.32,0,0,1.06,30.8,15.93,0,1.06,0,1.06,10.62,1.06,12.74,1.06,2.12,2.12,691.39,1.06,19.12,40.36,0,4.25,0,0,0,32.92,3.19,0,0
 96-106,41.53,0,6.56,2.19,97.26,1.09,2.19,1.09,20.76,22.95,0,0,0,0,19.67,0,16.39,0,0,1.09,616.37,1.09,25.14,49.18,0,4.37,1.09,0,0,26.23,0,0,0
108-118,35.23,0,10.72,1.53,68.94,0,0,0.77,23.74,13.79,0,0.77,2.3,1.53,14.55,3.06,9.96,0,0.77,0,864.01,0,16.09,27.57,0,3.06,0,0,0,22.21,2.3,1.53,0.77
120,13.72,0,7.84,0,48.99,0,0,0,9.8,13.72,1.96,3.92,0,0,15.68,0,9.8,0,0,5.88,676.13,0,7.84,29.4,0,3.92,0,0,0,19.6,0,0,0
