stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,1120.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,551.67,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,15.77,23.66,0,0,57.83,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,396.94,7.89,0,0,126.18,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,3.15,0,0,22.03,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,267.49,3.15,0,0,110.14,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,19,4,11,0,0,0,7,1,0,0,0,2,0,0,0,17,0,0,17,161,5,0,0,3,1,29,4,2,36,55,0,0,0,0,0
 24-34,0,0,0.82,4.1,0.82,18.06,0.82,0,0,2.46,0,0,0,0,0,0,0,0.82,7.39,0.82,0,4.93,169.92,0,0,0.82,0,4.1,0,0,0.82,3.28,34.48,0,0,3.28,0,0.82
 36-46,0,0,0,0,0,44.31,0,0,0.81,6.45,0.81,0,0,0,0,0,0.81,0,8.06,0,0,4.03,91.85,1.61,0,0,0,0,0,0,0,0,16.92,0,0,1.61,0,0
 48-58,0,0,0,0.57,0,70.58,0,0,0,9.18,0,0,0.57,0.57,0,0.57,0,0,12.62,0.57,0.57,2.87,59.68,0,0,0,0,1.72,0,0,0,0,8.61,0,0,0.57,0,0
 60-70,0,0,0,0,0,22.58,0,0.98,0,3.93,0.98,0,0,0,0,0,0,0,11.78,0,1.96,0,19.63,0.98,0.98,0,0,0.98,0,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,0,4.91,1.96,15.71,0,0.98,0,6.87,0,0,1.96,0,0,0,0.98,0,12.76,0,0,0.98,27.49,0,0.98,0,0,0.98,0,0,0,0,0,0.98,0,3.93,0,0
 84-94,0,0,1.06,4.25,1.06,29.74,0,0,1.06,6.37,0,0,0,3.19,0,1.06,0,0,11.68,0,0,3.19,53.1,0,1.06,1.06,0,1.06,0,1.06,0,0,2.12,0,0,1.06,0,0
 96-106,0,0,0,3.28,1.09,10.93,1.09,0,0,3.28,0,0,0,2.19,0,1.09,0,0,3.28,0,0,1.09,15.3,0,0,0,0,2.19,0,0,0,0,0,1.09,1.09,1.09,1.09,1.09
108-118,0,0,0,4.6,5.36,10.72,0,2.3,0,6.13,1.53,0,0,1.53,0.77,2.3,0,2.3,20.68,0.77,0.77,2.3,31.4,0,0.77,0.77,0,2.3,0,0,0,0,0,0.77,0,1.53,0.77,0
120,0,0,0,0,3.92,5.88,0,0,0,5.88,0,0,1.96,5.88,0,0,0,0,3.92,0,0,0,21.56,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
