stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,300.35,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,10.51,0,0,15.77,0,0,0,7.89,0,0,0,0,0,0,0,0,0,57.83,5.26,0,0,47.32,0,15.77,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,75.53,0,0,0,44.06,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,2,0,2,1,0,0,4,0,0,0,0,0,0,1,20,0,0,0,1,0,5,0,6,1,6,4,15,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,0,0,0.82,4.1,0,27.09,0,0,0,1.64,0,0,0.82,32.83,0,0,0.82,0,0,19.7,0,0,0,0,0,7.39,0,0,1.64,0
 36-46,0,0,0,0,0,0,2.42,0,1.61,1.61,0,0.81,44.31,0,0.81,0,1.61,0,0,1.61,38.67,0,3.22,0,0,0,16.92,0,0,0,0,0,12.09,0,0,6.45,0
 48-58,0,0,0,0,1.72,0,9.75,0,0.57,0,0,0,51.07,0,0.57,0,2.87,0,0,0,51.64,0,0.57,0,0,0,2.87,0,0,0,0.57,0,12.62,0,0,21.23,0
 60-70,0,0,0,0,2.94,0.98,12.76,0,1.96,0,0,0,48.09,0,0,0,6.87,0,0,0,54.97,0,0,0,0,0,10.8,0,0,0,0,0,5.89,0,0,23.56,0.98
 72-82,0,0,0,0,0,5.89,6.87,0,1.96,0,0,0,93.26,0,0,0,6.87,0,0,0.98,54.97,0,0,0,0,0.98,8.83,0,0,0,0,0,4.91,0,0.98,52.03,0
 84-94,0,0,0,0,3.19,3.19,7.43,0,2.12,0,0,0,125.32,1.06,0,0,3.19,0,0,0,30.8,0,0,1.06,0,0,44.61,1.06,0,0,1.06,0,2.12,0,0,45.67,0
 96-106,0,0,1.09,0,7.65,6.56,7.65,1.09,1.09,1.09,0,1.09,169.39,1.09,1.09,2.19,6.56,0,1.09,2.19,26.23,0,2.19,1.09,0,0,17.49,0,0,0,0,0,3.28,0,0,73.22,0
108-118,0,0,0,1.53,5.36,3.06,4.6,2.3,2.3,2.3,0,0,130.98,0,0,0.77,3.83,0.77,0,0,36,0,0,0,0,0,28.34,0,0,0.77,0,0,0.77,0,0,65.11,0
120,0,0,0,0,5.88,5.88,9.8,1.96,1.96,0,0,0,129.35,0,0,0,1.96,3.92,0,0,37.24,0,1.96,0,0,0,7.84,0,0,0,0,0,3.92,1.96,0,48.99,1.96
