stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,53.5,0,0,59.79,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,427.99,3.15,0,0,25.18,0,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,1,4,3,9,0,0,0,0,0,0,0,0,0,0,0,4,0,1,65,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
 24-34,0,0,2.46,0,9.85,2.46,0,2.46,0,0,0,0,0,12.31,0.82,0,4.93,0,10.67,165.81,0,1.64,5.75,0,0,6.57,0,0,0,1.64,26.27,0,0,0,0,0
 36-46,0,0,0.81,0,115.21,3.22,1.61,4.03,0,0,0.81,0,0.81,7.25,0,0,2.42,0.81,8.86,315.02,0,0,3.22,0,0,4.03,0,0,0,0,41.89,0,0,0.81,0,0
 48-58,0,0,1.15,0,152.06,1.15,0,16.64,0,0,0,0,0,4.02,0,0,8.61,0.57,1.72,206,0,0.57,10.33,0,0,0,0,0,0.57,0,26.97,0,0.57,0,0,0.57
 60-70,0,0,0.98,0,582.04,0.98,0.98,17.67,0,0,0,0,0,7.85,0,0.98,5.89,0,0.98,195.32,1.96,0,14.72,0,0,0.98,0,0,0,0,15.7,0,0.98,0,0,0.98
 72-82,0,0,4.91,0.98,669.49,0.98,0,15.71,0,0,0,0,0,7.85,0,0,3.93,0,0.98,111.91,0,0,33.38,0,0,2.94,0,0,0,0,6.87,3.93,0.98,0.98,0,0
 84-94,0,0,3.19,1.06,618.11,1.06,0,11.68,1.06,0,0,0,0,13.81,0,0,5.31,1.06,3.19,53.1,2.12,0,46.73,0,0,9.56,1.06,0,0,0,2.12,1.06,1.06,1.06,2.12,1.06
 96-106,0,0,2.19,2.19,427.3,0,1.09,8.74,0,0,0,0,0,17.49,0,0,5.46,0,3.28,43.71,0,0,50.27,0,0,5.46,0,0,0,0,2.19,0,0,0,1.09,0
108-118,0,0,2.3,0,281.87,0,0,8.43,0,0,0,0.77,0,12.26,0,0.77,9.96,0,3.06,35.23,0,0,36,0,0,4.6,0,0,0,0,0.77,0.77,0.77,0,0,0
120,0,0,0,0,246.93,0,0,13.72,0,0,0,1.96,0,11.76,0,0,0,0,5.88,35.28,0,0,25.48,0,1.96,1.96,0,0,0,0,0,0,0,1.96,1.96,1.96
