stage,axial,blastomeres,endoderm,epidermis,eye,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,neural,notochord,periderm,spinal_cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,0,0,0,0,0,0,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,5.74,0,2.87,0.57
 60-70,0,0,0,0,1.96,0,0.98,0,0,0,0.98,1.96,0,1.96,0
 72-82,0,0,0,0,4.91,0,4.91,0,0,0,0,0.98,0,3.93,0
 84-94,0,0,0,1.06,1.06,1.06,1.06,1.06,1.06,0,0,4.25,0,4.25,0
 96-106,0,0,0,2.19,1.09,0,5.46,0,1.09,0,0,1.09,0,10.93,0
108-118,0,0,0,3.06,3.06,0.77,3.06,0,0,0.77,0,0,0,4.6,0
120,0,0,0,3.92,0,0,0,0,0,1.96,1.96,0,0,0,0
