stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,3,1,1,0,0,0,0,1,0,0,13,0,1,3,0,3,0,1,8,1,0,0,1,0,0
 24-34,0,0,0,0,0,1.64,0,0.82,0.82,0,45.15,0,12.31,5.75,0.82,0.82,0,0,0,4.1,0,0,4.1,0,0
 36-46,0,0,0,0,0.81,6.45,0,0,0,1.61,49.95,2.42,16.11,3.22,0,4.83,0,0,0,0,0.81,0,1.61,0,0
 48-58,0,0,1.15,0,1.72,11.48,1.15,0,0.57,0,67.71,0.57,20.08,6.89,0,3.44,0,0,0,0,1.72,0.57,1.15,0,0
 60-70,0,0,0.98,0.98,0.98,16.69,0.98,0.98,0,0,92.26,0,15.7,4.91,0,0.98,0.98,0,0,0,0,1.96,0.98,0,0.98
 72-82,0,0,1.96,0,0,17.67,0.98,0,0,0.98,107,0,5.89,9.82,0,9.82,0,0,0,0,4.91,0.98,0.98,4.91,0.98
 84-94,1.06,0,4.25,0,1.06,15.93,0,1.06,0,2.12,90.27,1.06,12.74,4.25,0,5.31,0,1.06,0,0,0,5.31,7.43,2.12,0
 96-106,1.09,0,3.28,0,1.09,20.76,0,0,1.09,2.19,80.87,0,9.84,5.46,0,1.09,2.19,1.09,0,0,0,1.09,2.19,1.09,1.09
108-118,0.77,0,5.36,0.77,3.83,10.72,0.77,0,1.53,3.06,59.75,2.3,7.66,7.66,0,3.06,1.53,0,0,0,0,2.3,5.36,3.83,0
120,1.96,1.96,0,0,0,13.72,1.96,0,3.92,0,60.75,0,7.84,1.96,0,0,1.96,0,0,0,0,1.96,3.92,1.96,0
