stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,pericytes,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,9.03,0,0.82,0,0,0,0,0.82,0.82,0,0
 36-46,0,0,0,9.67,0,0,0,0,0.81,0,0,0,0,0.81,0,0,11.28,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,80.33,0,0,0,0.57,0,0.57,0,0,0,1.15,0,0.57,11.48,0,0,0,0,0,0,2.87,1.15,0,0
 60-70,0,0,0,173.73,0,0,0,2.94,0,0,0,0,0,0.98,0,0,35.33,0,0.98,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,99.15,0,0.98,0,5.89,0,0,0,0,0,8.83,0,0,28.47,0,0,0.98,0,0,0,1.96,0,0.98,0.98
 84-94,0,0,1.06,70.09,0,0,0,5.31,0,0,0,2.12,0,4.25,1.06,0,15.93,0,0,0,0,0,0,2.12,0,0,0
 96-106,0,0,0,71.04,0,0,1.09,4.37,0,0,0,0,0,4.37,0,0,8.74,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0.77,99.58,0.77,0,0.77,0.77,0.77,0,0,0,0.77,4.6,0,0.77,18.38,0,0,0,0.77,0,0,0,0.77,0.77,0.77
120,0,0,7.84,66.63,0,1.96,1.96,0,0,0,0,0,0,1.96,0,0,25.48,1.96,1.96,0,0,0,0,0,0,0,0
