stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,7.89,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,4,2,0,3,21,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,1.64,64.85,0,0,0,0,0.82,0,0,0,0.82,1.64,40.22,0,0,0,0,0
 36-46,0,0,0,0.81,0,5.64,0,0.81,5.64,0,0,0,0,0,0,0,1.61,0,0,91.85,0,0,0,0,0,0,0,0,0,0,31.42,0,0,0,0,0
 48-58,0,0,0,0.57,0,23.53,0,1.15,8.03,0,0,0.57,0,0,0.57,0.57,1.72,0,0.57,141.16,0,1.15,0,0,0,0,0,0,0,0,23.53,0,0,0,0,0
 60-70,0,0,0,0.98,0,71.65,0,0,7.85,0,0,0,0,0,0,0,6.87,0,2.94,258.14,0,0,0.98,0,0,0,0,0,0.98,0,34.35,0,0,0.98,0.98,0
 72-82,0,0,0,0.98,1.96,131.54,0.98,0.98,14.72,0.98,0,0,0,1.96,0,0,9.82,0.98,1.96,318.06,0,1.96,1.96,0,0,0,0,0,0,0,24.54,0,0,0.98,0,0
 84-94,0,0,0,3.19,1.06,88.15,0,0,12.74,1.06,0,0,2.12,0,1.06,0,2.12,0,1.06,160.37,0,2.12,1.06,0,3.19,0,0,0,0,0,19.12,0,0,0,0,1.06
 96-106,0,0,0,3.28,0,127.86,0,0,16.39,0,0,0,2.19,0,0,0,4.37,0,1.09,210.92,0,2.19,3.28,0,2.19,0,0,0,0,0,10.93,0,1.09,1.09,0,0
108-118,0,0,0,3.06,0.77,105.7,0.77,0,16.09,0.77,0,0.77,0.77,0,0,0.77,3.06,0,1.53,229.02,0,0,6.13,0,2.3,0,0,0,0,0,4.6,0.77,0,2.3,0,0
120,0,0,0,1.96,1.96,125.43,0,1.96,17.64,1.96,0,0,0,0,1.96,0,0,0,1.96,311.61,0,0,1.96,0,0,0,0,0,0,0,15.68,0,0,1.96,0,0
