stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,26.36,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,110.33,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,6.13,0,0
  7-9,0,0,0,7.89,0,0,0,5.26,0,0,0,0,23.66,2.63,0,15.77,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,6,1,1
 24-34,0,0,0.82,2.46,0,0,0,0,0.82,0,0,0,6.57,0,0,0,6.57,0,3.28
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0.81,3.22,0,0,0,4.03,0,0
 48-58,0,0,0,0.57,0,0.57,0,0,1.72,0.57,0.57,0,1.15,0,0.57,0,2.87,0,1.15
 60-70,0,0,0,0.98,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0.98,0,0,0,0.98,0,0,0,5.89,0,0,0,2.94,0,1.96
 84-94,0,0,0,0,0,1.06,0,0,4.25,0,0,0,2.12,0,0,0,7.43,0,0
 96-106,0,0,0,4.37,0,1.09,1.09,0,2.19,0,0,0,4.37,0,1.09,0,2.19,0,0
108-118,0,0,0.77,3.06,0,0,0.77,0,0.77,0,0,0,0.77,0,1.53,0,0.77,0,0
120,0,0,0,1.96,0,0,1.96,0,0,0,0,0,1.96,0,0,0,3.92,0,0
