stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,294.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,7.89,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,70.98,0,0,0,26.29,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,2,7,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,32,0,1,0,1,0,0,2,1,5,14,1,0
 24-34,0,0,0.82,2.46,0,7.39,0,0,0.82,0,0,0,0,0,0,0,0,4.1,0,0,4.93,51.71,0,0.82,1.64,0,0,1.64,0,0,0.82,12.31,2.46,0
 36-46,0,0,0,0,0,9.67,0.81,0,0,0,0,0,0,0,0.81,0,0,4.83,0,0,0.81,29,0,1.61,1.61,0,0,0.81,0,0,0,7.25,0,0
 48-58,0,0,0,0.57,0,9.75,0,0,2.3,0,0,0,0.57,0,0,0,0.57,5.74,0,0,1.15,22.38,0,0,0,0,0,0,0,0,0,6.31,0,0
 60-70,0,0,0,1.96,0.98,5.89,0,0,2.94,0,0,0,0,0,0,0.98,0,5.89,0,0,0,22.58,0,0,0.98,0,0,0,0,0,0,3.93,0,0
 72-82,0,0,0,0,0,9.82,0,0.98,7.85,0,0,0,0,0,0,0.98,0,12.76,0,0,1.96,20.61,0,0,0.98,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,2.12,0,5.31,0,0,4.25,0,0,0,0,0,0,0,1.06,8.5,0,0,1.06,6.37,0,0,0,0,0,0,0,1.06,0,2.12,0,1.06
 96-106,0,0,1.09,5.46,0,4.37,0,0,3.28,0,0,0,0,0,0,1.09,0,5.46,1.09,1.09,3.28,9.84,0,0,0,0,0,9.84,0,1.09,0,2.19,1.09,0
108-118,0,0,0,3.06,0,5.36,0,0,4.6,0.77,0,0,0,0.77,0,0,0,6.89,0,0,0,12.26,0.77,0,0,0,0.77,1.53,0,0,0,0.77,2.3,0
120,0,0,0,5.88,0,11.76,0,0,9.8,0,0,0,0,0,0,0,0,7.84,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,1.96,0
