stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,257.44,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,5.26,0,0,0,7.89,0,0,0,0,0,86.75,0,0,0,34.17,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,6.29,0,0,0,0,0,34.62,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,1,0,34,0,0,0,0,0,0,4,3,8,0,0
 24-34,0,0,0,0.82,0,7.39,0.82,0.82,0,2.46,2.46,71.41,0,0.82,1.64,0,0,0,0,0,11.49,0,0
 36-46,0,0,0,0,0,6.45,0,0,0,3.22,0,20.14,0,0,1.61,0,0,1.61,0,0,4.03,0,0
 48-58,0,0,0,0.57,1.15,9.75,1.72,0,0.57,2.87,0,11.48,0,0,0,0,0,0.57,0,0,2.3,0,0.57
 60-70,0,0,0,1.96,0,10.8,0.98,0,0,7.85,0,6.87,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0.98,0,0,3.93,0,11.78,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,3.19,0,1.06,0,2.12,1.06,3.19,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,4.37,1.09,2.19,0,0,0,0,0,1.09,0,0,0,0,1.09
108-118,0,0,0,0,0,0.77,0.77,0,0.77,1.53,0.77,3.06,0,0,0,0,0.77,0,0,0,0,0.77,0
120,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
