stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,3.15,0,0,0,0,0
 14-21,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,6,5,1,0,0,0,0,0,12,149,177,2,0,0,0,0
 24-34,0,0,0,6.57,18.88,0.82,0.82,1.64,0,0,0,0,0,0,0,9.03,36.12,38.58,0,0,0.82,0,0,0,0,80.44,127.23,6.57,0,0,0,0
 36-46,0,0.81,0,7.25,26.59,0,0,0.81,0,0,0,0,0.81,0,0,18.53,36.26,16.92,0,1.61,0,0.81,0,0,1.61,56.4,3.22,4.83,0,0,0,0
 48-58,0,0.57,0.57,14.35,29.84,0,0,0.57,0,0,0.57,0,1.15,0,0,19.51,43.04,25.82,0,0,1.15,0,0,0.57,0,45.9,0,6.89,0,0,0,0
 60-70,0,0,0,11.78,40.24,0,0,0,0,0,0,0,0,0,0,13.74,22.58,15.7,0,0,1.96,0.98,0,0.98,0,27.48,0,0.98,0,0.98,0,0.98
 72-82,0,2.94,0,18.65,37.3,0,0,2.94,0,0.98,0,0,0,0.98,0.98,25.52,29.45,18.65,0,0,0,0.98,0,0,0,22.58,0,0,0,0,0.98,0.98
 84-94,0,0,1.06,25.49,42.48,0,0,2.12,0,0,0,0,1.06,0,0,18.05,43.54,8.5,0,0,2.12,0,0,3.19,0,32.92,0,1.06,0,0,1.06,0
 96-106,0,2.19,1.09,21.86,64.48,0,0,3.28,0,0,1.09,1.09,0,2.19,0,22.95,29.51,19.67,0,0,1.09,2.19,0,2.19,0,32.79,0,0,2.19,1.09,1.09,0
108-118,0,3.83,0,9.96,54.38,0,0,1.53,0,0.77,0,0,0.77,0,0.77,19.15,40.6,9.19,0,0.77,0.77,0,0.77,0.77,0,26.04,0,0,0,0,0,1.53
120,0,1.96,1.96,0,41.16,0,0,3.92,1.96,0,0,0,0,0,0,13.72,33.32,5.88,0,0,3.92,0,0,0,0,13.72,0,0,0,0,1.96,0
