stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,2,20,1,5,0,1,0,4,10,0,3,57,0,0,0,0,0
 24-34,0,0,0.82,0.82,0.82,0,2.46,0,0,0.82,13.95,0,0.82,0,0,0,0,0,0,0,1.64,0,0,1.64,89.47,1.64,10.67,1.64,0,0,5.75,6.57,0.82,0,68.13,0,0,0,0,0
 36-46,0,0,1.61,0,0.81,0,32.23,0,0.81,0.81,6.45,0,0,0,0,0,0,0,0,0,6.45,0,0,4.03,169.19,0,9.67,1.61,0,0,10.47,4.03,0,0,80.57,0,0,0,0,0
 48-58,0,0,1.15,0,0.57,0,161.81,0.57,0,0,14.35,0.57,0.57,0,0,0,0,0,0,0,5.16,0,0,4.59,176.73,0,5.16,2.87,0,0.57,2.87,1.15,0,0,71.15,0,0,0,0,0
 60-70,0,0,0,0,0,0,275.81,0,0,0,19.63,0,0,0,0.98,0,0.98,1.96,0,0.98,5.89,0,0,3.93,207.1,0.98,1.96,2.94,0,0,2.94,0,0,0,51.04,0,0,0.98,0,0
 72-82,0,0,3.93,0,2.94,0.98,223.82,0.98,0,0,23.56,0,0,0,0,0,0,0,0,0.98,9.82,0.98,0,0,223.82,0,5.89,11.78,0,0,5.89,1.96,0,0,32.39,0,1.96,0,0.98,0
 84-94,0,0,2.12,0,2.12,0,157.18,0,0,0,12.74,4.25,0,0,0,0,0,1.06,0,0,11.68,0,1.06,4.25,112.58,1.06,6.37,9.56,0,0,20.18,2.12,0,0,18.05,0,1.06,1.06,2.12,0
 96-106,0,0,3.28,1.09,4.37,0,140.98,0,0,0,15.3,2.19,0,0,0,0,0,6.56,0,0,7.65,0,0,0,72.13,0,9.84,13.11,0,0,7.65,1.09,0,0,10.93,1.09,1.09,1.09,1.09,0
108-118,0,0,0.77,0,3.06,0,117.19,0.77,0,0,6.89,0.77,0,0.77,0,0,0,2.3,0.77,0,8.43,0,0.77,0,88.09,0,3.83,4.6,0,0,7.66,0,0,0,6.89,1.53,0,0.77,0,0.77
120,0,0,0,0,3.92,0,121.51,0,0,0,5.88,0,0,0,0,1.96,0,1.96,0,0,3.92,0,0,1.96,137.18,1.96,7.84,5.88,0,0,5.88,1.96,0,0,7.84,0,0,0,0,0
