stage,blastomeres,eye,fin_epithelia,glial,mesenchyme,neural,notochord,otic,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,2.63,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,2.46,4.1,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0.81,1.61,0,0,0,0.81,0,0,0
 48-58,0,0.57,0,0,0.57,1.72,3.44,0,0,0,0.57,0,0,0
 60-70,0,0.98,0,0.98,0,1.96,2.94,0,0.98,0,3.93,0,0,0
 72-82,0,0.98,0,0,2.94,4.91,2.94,0,0,0,3.93,0,0,0
 84-94,0,0,0,0,0,2.12,6.37,0,2.12,0,0,1.06,0,0
 96-106,0,2.19,0,0,2.19,1.09,1.09,0,1.09,0,0,1.09,0,1.09
108-118,0,0,0.77,0,0,0.77,6.89,1.53,0,0,2.3,1.53,0,0.77
120,0,0,0,0,0,1.96,5.88,0,0,0,1.96,0,0,0
