stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,melanocytes,mesenchyme,mucous,neural,paraxial.mesoderm,periderm,pronephros,taste,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0,0,0
 14-21,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,12.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0
 36-46,0,8.06,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0
 48-58,0,2.87,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0
 60-70,0,13.74,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,8.83,0,0.98,0,0,0,0,0.98,0.98,0,1.96,0,0.98,0,0.98,0,0.98
 84-94,0,31.86,0,0,3.19,0,0,1.06,0,1.06,1.06,1.06,0,0,0,0,0,0
 96-106,0,30.6,1.09,1.09,1.09,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,34.47,0,0,0.77,0.77,0.77,0,0,0.77,0,0.77,0,0,0,0,0,0
120,0,21.56,0,0,1.96,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0
