stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,165.5,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,9.44,0,0,6.29,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,80,0,2,0,0,0,0,2,0,0,1,0,0,2,0,29,0,0,12,37,14,0,0,1,0,0,2,8,0,3,26,0,0,0,0,2
 24-34,0,0,0.82,1.64,2.46,0,2.46,0,0,0,0.82,1.64,0,0,0,0,0.82,1.64,1.64,22.98,0,0,9.03,109.17,4.1,0.82,6.57,0,0,0,0,0,0,0.82,47.61,0,0,1.64,0,4.93
 36-46,0,0,0,0,0,0,3.22,0,0,0,9.67,0,0.81,0,0,0,0,0,0,28.2,0,0,0.81,220.75,0,0.81,6.45,0,0,0,0.81,0,0,0,61.23,0,0,0,0,3.22
 48-58,0,0,0,0,1.15,0,57.95,0,0,1.15,41.31,0,0.57,0.57,0,0,0,0,0,39.59,0,0,2.3,368.38,1.72,0.57,5.16,0,0,0.57,0,0,0,0,76.32,0,0,0.57,0,2.87
 60-70,0,0,0.98,0,2.94,0,194.34,0,0,0,56.93,0,1.96,0,0,0,0,0,0,58.89,0,0,0,606.58,0,0,4.91,0,0,2.94,0,0,0,0,142.32,0,1.96,0,0.98,2.94
 72-82,0,0,0,0,2.94,0.98,292.54,0,0,0.98,93.26,0.98,0.98,0.98,0,0.98,0.98,0,0,108.96,0,0,0,720.54,0,0,9.82,0,0,0,0,0,0,0,71.66,0,0,0,0,1.96
 84-94,0,0,0,0,8.5,2.12,186.92,0,1.06,1.06,50.98,2.12,0,0,1.06,1.06,0,1.06,0,81.78,0,0,2.12,416.32,1.06,0,15.93,0,0,1.06,0,0,0,0,38.23,0,1.06,2.12,0,4.25
 96-106,0,0,1.09,0,13.11,3.28,182.51,1.09,0,2.19,66.66,1.09,0,0,1.09,0,2.19,0,0,45.9,0,0,3.28,345.34,0,0,13.11,0,1.09,3.28,0,0,0,0,12.02,4.37,2.19,2.19,1.09,2.19
108-118,0,0,3.06,0,4.6,0.77,142.47,0,0,0.77,48.26,0.77,0,1.53,0,2.3,0,0.77,0,39.83,1.53,0,0.77,363.83,0,0,13.02,0,0,0,0,0,0,0,12.26,0.77,0.77,0,0.77,4.6
120,0,0,1.96,0,5.88,1.96,133.27,0,0,3.92,25.48,0,0,0,0,0,0,0,0,35.28,0,1.96,1.96,427.23,1.96,0,5.88,0,3.92,1.96,0,0,1.96,0,21.56,0,0,0,0,1.96
