stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,31,1,0,0
 24-34,0,0,0,1.64,0,0,0.82,0,0,0,0,0,1.64,0,0,207.68,0.82,0,0,0,0,0.82,76.34,0,0,0
 36-46,0,1.61,0,21.75,0,0.81,1.61,0,0,0,0,0,0,0,0,491.46,0.81,0.81,0,0.81,0,0,96.68,0,0,0
 48-58,0,1.72,0,107.3,0,0.57,12.05,0,0,0,0,0,4.02,0,0.57,616.84,0.57,0.57,0,0.57,0.57,0,112.47,0,0,0.57
 60-70,0,3.93,0,287.59,0,0,14.72,0,0,0,0.98,0.98,0.98,0.98,0,637.01,0,0,0,0.98,0,0,74.6,0.98,0,0
 72-82,0,0.98,0,383.83,0,0,18.65,0,0,0.98,0,0,5.89,0.98,0.98,611.58,0,0.98,0,1.96,0,0,34.36,0,0.98,0.98
 84-94,0,4.25,0,167.8,0,0,11.68,1.06,0,0,0,0,6.37,1.06,1.06,261.26,0,0,0,3.19,0,0,19.12,0,0,0
 96-106,0,1.09,1.09,113.66,0,0,12.02,0,1.09,0,0,0,5.46,0,0,178.13,0,0,0,2.19,0,0,13.11,1.09,0,0
108-118,0,3.83,0,84.26,0.77,0,8.43,0,0,0,0,0,3.83,0.77,0.77,177.7,0,0.77,0,0,0,0,2.3,0,0,0
120,0,5.88,0,43.12,0,0,7.84,0,0,0,0,0,1.96,0,0,152.86,0,0,0,0,0,0,3.92,0,0,0
