stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,17,2,18,1,0,16,0,0,0,3,3,0,0,0,0,0,0,0,0,6,0,0,0,141,0,5,0,0,0,0,2,0,0,3,398,0,0,0,0,0
 24-34,17.24,0.82,14.78,0,0,27.09,0,4.1,0,9.03,0,0,0,0,0,0,1.64,0,0,10.67,0.82,0,8.21,985.85,2.46,52.53,0.82,0,5.75,0,0,0.82,0,1.64,345.58,0,0,1.64,0,0
 36-46,12.09,0,10.47,0,0,78.15,0,7.25,0,4.03,0,0.81,0,0,0,0,0,0.81,1.61,20.95,0.81,0,4.83,2529.8,0,87.01,2.42,0,12.89,0,0,2.42,0,0,381.89,0,0,0.81,0,0.81
 48-58,10.9,0,15.49,2.3,0,448.72,0.57,7.46,1.72,32.13,0.57,1.15,1.72,1.72,0.57,0.57,0.57,0.57,1.15,55.09,1.15,0.57,12.05,3770.47,1.15,65.99,2.87,0,9.75,0,0,3.44,0.57,0,508.39,0,0.57,2.87,0,1.72
 60-70,6.87,0,19.63,2.94,0,1284.81,0.98,5.89,4.91,68.71,2.94,0.98,0.98,0,0,3.93,0.98,1.96,0,71.65,0,3.93,6.87,5345.37,0,61.84,4.91,0,17.67,0,0,6.87,0.98,0,601.67,1.96,0,4.91,3.93,0.98
 72-82,40.25,0,72.64,7.85,0,1718.89,0.98,9.82,6.87,173.75,19.63,0,2.94,8.83,2.94,6.87,3.93,1.96,1.96,151.18,1.96,3.93,11.78,5713.27,0.98,126.63,9.82,0.98,9.82,0.98,0,7.85,0.98,0,380.88,8.83,2.94,11.78,6.87,7.85
 84-94,31.86,0,140.19,9.56,0,1315.86,5.31,14.87,5.31,148.69,23.36,1.06,2.12,8.5,0,9.56,3.19,4.25,2.12,151.87,2.12,10.62,16.99,3242.4,0,131.69,8.5,0,31.86,0,0,2.12,2.12,0,230.46,25.49,4.25,8.5,7.43,4.25
 96-106,37.16,0,124.58,15.3,2.19,1061.15,6.56,12.02,6.56,165.02,29.51,0,2.19,13.11,2.19,4.37,6.56,9.84,0,144.26,4.37,9.84,15.3,2822.82,4.37,205.46,15.3,2.19,28.41,5.46,0,4.37,3.28,0,128.96,29.51,2.19,5.46,4.37,4.37
108-118,35.23,1.53,57.45,9.96,4.6,922.22,2.3,12.26,3.06,108,19.15,0,0.77,9.19,3.83,2.3,1.53,5.36,0,77.36,2.3,3.06,8.43,3345.73,2.3,129.45,9.19,0,19.92,0,0,6.89,0.77,0,78.89,41.36,2.3,9.19,4.6,1.53
120,23.52,0,113.67,17.64,9.8,915.22,5.88,23.52,7.84,152.86,21.56,0,0,7.84,3.92,1.96,1.96,5.88,1.96,117.59,1.96,7.84,25.48,4391.88,15.68,105.83,5.88,0,25.48,0,0,9.8,1.96,0,123.47,9.8,1.96,11.76,1.96,3.92
