stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0
 24-34,0,0.82,0,1.64,0.82,0,0.82,0,0,0,0,0,0,0,0,2.46,19.7,0,0,0,0.82,0.82,0.82,0,0.82,0,0
 36-46,0,1.61,0,2.42,0,0,0.81,0,0,0,0,0,0.81,0,0,0,8.06,0.81,2.42,0,1.61,0,1.61,0,0,0,0
 48-58,0,0,0,2.3,0,0,0,0,0.57,0,0,0.57,2.3,0,0.57,1.72,16.64,0,0.57,0,1.72,0,0.57,0,0.57,0,0
 60-70,0,0,0,5.89,0,0,1.96,0,1.96,0,0.98,0,4.91,0,0,0,23.56,0,0,0,4.91,0,2.94,0,0.98,0,0
 72-82,0,0,3.93,12.76,0,0,1.96,0,1.96,0,0,0,4.91,1.96,0,0.98,15.71,0,0,0,4.91,0,1.96,0,0,0,0
 84-94,0,2.12,1.06,7.43,0,0,1.06,0,4.25,0,0,0,2.12,1.06,0,0,10.62,0,0,0,9.56,0,4.25,0,0,1.06,0
 96-106,0,3.28,1.09,5.46,1.09,0,0,2.19,3.28,0,0,0,2.19,0,0,0,12.02,0,1.09,1.09,17.49,0,0,1.09,0,0,1.09
108-118,0.77,1.53,0,0.77,0,0.77,0.77,0,3.83,0.77,0.77,0,4.6,0,0.77,0.77,4.6,0,0,0,16.85,0,0.77,0,2.3,0,0
120,0,0,0,1.96,0,0,0,1.96,7.84,0,0,0,1.96,0,0,0,9.8,0,1.96,0,35.28,0,0,0,0,0,0
