stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.89,0,0,0,26.29,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,10,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,4,3,56,0,0,0,0,0,2,0,1,36,1,1,12,0,0,1,0,0
 24-34,0,0,0.82,0,3.28,0,0,0.82,0,0,0,0.82,0,0,0,0,0.82,0,0,0,4.1,0.82,59.1,1.64,0,0.82,0,0,0,0,0,18.06,0,0,22.16,0,0,0,0,0
 36-46,0,0,0,0,4.83,0,0,37.87,0,0,0,4.03,0,0,0,0,0,0,0,0,4.83,1.61,167.58,0.81,0.81,0.81,0,0,1.61,0,0,7.25,0,0,67.68,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,61.4,0,0,0,3.44,0.57,0,0,0,0,0,0,0,11.48,1.15,301.25,1.15,0.57,0.57,0,0,0,0,0,1.15,0,0,75.17,0,0,1.15,0,1.15
 60-70,0,0,0,0,1.96,0,0,101.1,0,0,0,5.89,0,0.98,0,0,0,0,0,0.98,14.72,0.98,1035.51,0,0,0,0,0,1.96,0.98,0,0,0,0,130.54,0,0.98,0.98,0,1.96
 72-82,0,0,1.96,0,3.93,0.98,0,106.02,0,0.98,0.98,21.6,1.96,0.98,1.96,1.96,0,0,0,0,17.67,0,1094.55,0.98,2.94,0,0,0,0.98,0,0,0,0,0,90.31,0.98,0,2.94,0.98,2.94
 84-94,0,0,1.06,0,10.62,1.06,0,57.35,0,2.12,0,10.62,1.06,0,2.12,0,2.12,1.06,1.06,1.06,12.74,0,493.85,0,2.12,2.12,0,0,4.25,0,0,0,0,0,46.73,0,1.06,0,0,0
 96-106,0,0,1.09,0,9.84,0,0,36.06,0,0,0,17.49,1.09,0,3.28,0,1.09,1.09,1.09,0,9.84,0,453.53,0,4.37,4.37,0,0,0,0,0,0,0,0,27.32,1.09,0,0,0,1.09
108-118,0,0,0,0,10.72,0.77,2.3,46.72,0.77,1.53,0,25.28,1.53,0,0.77,0,0,1.53,0.77,0,6.89,1.53,641.88,0,2.3,3.06,0,0.77,2.3,0,0,0,0,0,23.74,0,0,1.53,0,0
120,0,0,0,0,3.92,0,3.92,31.36,0,0,0,17.64,3.92,1.96,0,1.96,0,0,0,0,5.88,7.84,809.39,0,1.96,0,0,1.96,1.96,0,0,0,0,0,43.12,1.96,0,0,0,1.96
