stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,1,2,17,0,0,0,0,28,0,1,81,0,0,0
 24-34,0,0,0,0,0.82,0,1.64,0,0,90.29,0,0,0,0,0,0.82,3.28,44.33,1.64,4.1,0,0.82,36.94,0,0,132.16,0,0,0
 36-46,0,0,0,0.81,0,0,1.61,0,0,76.54,0.81,0,0,0,0.81,0.81,0.81,45.92,1.61,3.22,0,1.61,11.28,0,0,136.96,0,0,0
 48-58,0,0,0,0,0.57,0,5.16,0,0,118.2,0,0,0.57,2.3,0,1.72,0.57,30.41,3.44,3.44,0,0,2.87,0.57,0,146.32,0,0,0.57
 60-70,0,0,0,0,0,0,6.87,0,0,101.1,0.98,0,0,4.91,0,0,0,19.63,0.98,9.82,0,0,2.94,0,0,69.69,0,0.98,0
 72-82,0,0,0.98,0,0,0,12.76,0.98,0,129.58,0,0,0.98,18.65,0,3.93,0,26.5,1.96,26.5,0,0,0.98,0,0,45.16,0.98,0,0
 84-94,0,0,0,0,2.12,1.06,13.81,0,1.06,79.65,1.06,1.06,0,16.99,0,4.25,1.06,10.62,2.12,49.92,0,0,6.37,0,0,45.67,0,0,0
 96-106,0,0,0,1.09,1.09,0,10.93,0,0,72.13,0,0,0,37.16,0,3.28,0,9.84,4.37,57.92,0,2.19,5.46,0,0,33.88,0,0,0
108-118,0,0,0.77,1.53,0.77,0,12.26,0,0,48.26,1.53,0,0,19.92,0,0,0,6.89,1.53,34.47,0,0,9.96,0,0,16.85,0,0,0
120,0,0,0,0,1.96,0,3.92,0,0,13.72,3.92,0,0,19.6,0,7.84,0,13.72,1.96,19.6,0,3.92,11.76,0,0,19.6,0,1.96,0
