stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,2,0,0,0
 24-34,3.28,0,1.64,0,0.82,0,0.82,0,0,0,1.64,1.64,22.98,0,1.64,0.82,1.64,0,0,0,0.82,0,0,0
 36-46,0,0,2.42,0,0.81,0,0,0.81,0,0,2.42,0,15.31,0,0,0,0.81,0,0,0,5.64,0,0.81,0
 48-58,0.57,0,2.3,0,0,0,2.87,0,0.57,0,2.3,1.15,11.48,0,0.57,0,0,0,0,0.57,2.87,0,0,0
 60-70,0.98,0,5.89,0,0.98,0.98,0.98,0,0,0.98,4.91,0,7.85,0.98,0,0,0.98,0,0,0,2.94,0,0,0
 72-82,0,1.96,10.8,0.98,0,0.98,1.96,0,1.96,0,5.89,0,12.76,0,0,0,0,0,0,0,0.98,0,1.96,0.98
 84-94,1.06,0,4.25,0,0,0,1.06,0,0,0,4.25,0,11.68,0,0,0,0,0,0,1.06,1.06,0,0,0
 96-106,1.09,2.19,3.28,0,0,1.09,4.37,0,0,0,4.37,0,9.84,0,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0,6.13,0,0,0,1.53,0,0,0,1.53,0.77,3.06,0,0,0.77,0,0,0.77,0,0,0,0,0
120,0,0,0,1.96,1.96,0,0,0,0,1.96,0,0,9.8,0,0,1.96,1.96,0,0,0,1.96,1.96,0,0
