stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,9,0,0,0,0,0
 24-34,0,0,2.46,0,1.64,0,0,0,0,0,0,0.82,1.64,0,1.64,21.34,0.82,0.82,0,0,0.82,9.03,0,0,0,0,0
 36-46,0,0,1.61,0,3.22,0,0,2.42,0,0,0,0,2.42,0.81,0,37.06,0,0,0,0,1.61,18.53,0,0,0,0,0
 48-58,0,0,0.57,0,16.64,0,0,3.44,0,0,0,0,2.3,0,0,44.76,0,0,0,0,1.72,8.61,0,0,0,0.57,0
 60-70,0,0,2.94,0,28.46,0,0,5.89,0,0,0.98,0,3.93,0,0,54.97,0,0,0,0,0.98,11.78,0,0,0.98,0,0
 72-82,0,0,5.89,0,132.52,0,0,3.93,1.96,0,0,0,4.91,0,0.98,70.68,0,0,0,0,0.98,12.76,0,0,0.98,0,0
 84-94,0,0,8.5,1.06,72.22,0,0,4.25,0,0,0,0,4.25,0,0,35.05,0,1.06,2.12,0,2.12,5.31,0,1.06,0,0,0
 96-106,0,0,4.37,0,85.24,1.09,0,6.56,1.09,0,1.09,0,3.28,0,0,44.81,0,0,1.09,0,1.09,3.28,0,0,0,0,1.09
108-118,0,0,6.13,0,78.89,1.53,0.77,5.36,2.3,0.77,0.77,0,3.06,0,0,54.38,0,0,0,0,0,3.83,0.77,0,0,0,0
120,0,0,7.84,0,52.91,0,0,5.88,1.96,0,0,0,0,0,1.96,52.91,0,0,1.96,0,0,0,0,0,0,0,1.96
