stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,melanocytes,mesenchyme,muscle,neural,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0
 36-46,0,1.61,0,0.81,0,0,0,0,0,0,0,0.81,0,0.81,1.61,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.72,0.57,1.15,1.15,0,1.72,0,0.57,0,0
 60-70,0,0,0.98,0.98,0,0,0,0,0,0,0,3.93,0,0,0,0,1.96,0,0
 72-82,0,0.98,0.98,0,0,2.94,0.98,0.98,0,2.94,0,0.98,0,0,0,0.98,3.93,0,0
 84-94,0,2.12,0,0,0,1.06,1.06,1.06,1.06,4.25,0,4.25,2.12,0,0,0,0,0,0
 96-106,0,2.19,0,0,1.09,0,1.09,1.09,2.19,2.19,1.09,2.19,0,0,0,0,2.19,1.09,0
108-118,0,0.77,0.77,0,0,0,2.3,0.77,0.77,0,0,2.3,0.77,0,0,0,0,0,0.77
120,0,3.92,0,0,1.96,0,0,0,0,3.92,0,0,3.92,0,0,0,0,0,0
