stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,52.71,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0
  5-6,0,128.72,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,5.26,0,0,13.14,0,15.77,0,0,0,147.21,7.89,49.95,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,0,0,9.44,0,0,0,138.47,6.29,62.94,0,12.59,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,8.61,0.57,0,1.15,0.57,0.57,4.59,0,0,0,0,1.72,0,0
 60-70,0,0,0,0,0,0,1.96,0.98,0,3.93,0,0,5.89,0,0,0,0,0,0.98,0
 72-82,0,0,0.98,0,0,0,2.94,0,0,1.96,0,0,1.96,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,0,5.31,1.06,0,2.12,0,0,5.31,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,6.56,0,0,3.28,0,0,16.39,0,0,1.09,0,0,0,1.09
120,0,0,0,0,0,1.96,1.96,0,0,0,0,0,3.92,0,0,0,0,0,0,0
