stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,6.29,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,122,0,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,0,1.64,0.82,0,0,0.82,0,0,0,1.64,0.82,12.31,0,0,0,458.86,0.82,0,0.82,0.82,0,0
 36-46,0,0,0,0,0,3.22,1.61,0.81,0,0.81,0,0,0,2.42,2.42,0,11.28,0.81,0,0,488.24,0,0,0,0,0,0.81
 48-58,0,0,0.57,0,0,3.44,1.72,1.15,0.57,0,0.57,0,0.57,2.3,3.44,0.57,5.16,0,0,0,285.75,0,0,1.72,0,0,0
 60-70,0,0,0.98,0,0,0,0.98,0,0,0,0.98,0.98,0,0,1.96,0,8.83,0.98,0,0,259.12,0,0.98,0,0,0,0
 72-82,0,0,1.96,0,0,3.93,0.98,0,0,0,0,0,0,0.98,0.98,0,1.96,0,0.98,0,219.89,0,0,0,0,0,0.98
 84-94,0,0,1.06,1.06,0,1.06,5.31,0,0,1.06,7.43,0,0,1.06,2.12,1.06,7.43,0,0,0,708.38,0,0,0,0,0,0
 96-106,0,0,7.65,0,0,5.46,3.28,0,0,0,5.46,0,0,2.19,5.46,0,7.65,0,0,0,515.82,0,0,0,0,1.09,0
108-118,0,0,3.06,0,0.77,2.3,3.83,1.53,0,0,7.66,0,0,2.3,4.6,0,6.13,0,0,0,382.22,0,0,0,0,0,0
120,0,0,7.84,0,0,0,3.92,0,0,0,1.96,0,0,1.96,1.96,0,0,0,0,0,172.46,0,0,0,0,0,0
