stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,gut,mesenchyme,muscle,neural,olfactory,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature
 14-21,4,0,0,1,0,0,0,0,3,0,1,0,5,0,0,0
 24-34,0,0,0,3.28,0,0,2.46,1.64,1.64,0,0,0,3.28,0,0,0.82
 36-46,1.61,1.61,0,3.22,0,0,2.42,2.42,0.81,0,0,0,2.42,0,0,1.61
 48-58,0.57,0,0.57,1.15,0,0,0.57,1.15,0,0,0,0.57,0,0,0,0.57
 60-70,0.98,0.98,0,1.96,0,0,0.98,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,1.96,0.98,0,0.98,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,2.12,1.06,1.06,4.25,0,0,1.06,0,0,0,1.06,0,2.12
 96-106,0,0,0,3.28,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,1.53,0,0,3.06,0,0,1.53,0,0.77,0,0,0,0,0.77,0,0
120,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0
