stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,somites,spinal.cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,11,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,110.82,0,0,0,0,0.82,20.52,0,0
 36-46,0,0,0.81,0,0,19.34,0,0.81,0,0,0.81,0,349.66,2.42,0,0,0.81,0,45.12,0,1.61
 48-58,0,0,1.15,0,0,41.89,0,3.44,0,0,2.3,0.57,370.68,0,0.57,0,0,0,46.48,0,0.57
 60-70,0,0,0,0.98,0,145.27,0.98,0.98,0,0,5.89,0.98,443.65,1.96,0,0,0,0,51.04,0,0
 72-82,0,0.98,0.98,0.98,0,144.3,0,6.87,0.98,0.98,4.91,0,318.06,2.94,0,0,0,0,17.67,0.98,0
 84-94,0,0,0,0,0,79.65,0,10.62,0,0,5.31,1.06,187.98,1.06,2.12,1.06,0,0,15.93,1.06,2.12
 96-106,0,0,2.19,0,0,72.13,0,5.46,0,1.09,3.28,0,144.26,2.19,0,0,0,0,4.37,0,0
108-118,0,0,0.77,0.77,0,58.98,0,2.3,0,0,1.53,0,165.45,2.3,0,0,0,0,7.66,0,3.06
120,0,0,0,0,1.96,21.56,0,3.92,0,0,3.92,0,143.06,1.96,0,0,0,0,0,0,0
