stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,13.18,658.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,784.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,5.26,10.51,0,28.92,0,0,26.29,0,0,0,21.03,0,0,0,0,0,0,0,0,402.19,7.89,0,0,141.95,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,217.14,6.29,0,0,47.2,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,1,3,4,1,0,1,1,0,0,3,1,0,0,0
 24-34,0,0,0,0,0.82,0,2.46,0,2.46,0,0,0,0.82,0,0.82,0,0,0.82,0,15.6,0,0.82,0.82,0,1.64,0,0,3.28,0,0,0
 36-46,0,0,0,0,3.22,0,0.81,0,0.81,0,0,0.81,0,0,0,0,0,0.81,0.81,4.83,0,2.42,0.81,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,2.87,1.15,0,0,0,0,0,0,0,0,0,1.15,1.15,1.72,0,0,0,0,3.44,0,0,0.57,0,0,0
 60-70,0,0,0,0,2.94,0,5.89,0,0.98,0,0,0,0.98,0.98,0,0,0,2.94,0,2.94,0,0.98,1.96,0,5.89,0,0,1.96,0,0,0
 72-82,0,0,0.98,0,1.96,1.96,0,0,0,1.96,0,0,0,0,0,0,0.98,1.96,0,2.94,0,2.94,0.98,0,1.96,0,0,0,0.98,0,0
 84-94,0,0,0,0,4.25,0,1.06,0,0,0,0,0,0,0,0,1.06,0,0,1.06,3.19,0,0,1.06,0,9.56,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,1.09,2.19,0,0,0,0,0,0,1.09,0,0,0,0,0,0,2.19,0,0,2.19,0,5.46,0,0,0,1.09,0,1.09
108-118,0,0,0,0,3.06,1.53,4.6,0,0,0,0,0.77,0,0.77,0,0,0,1.53,0,0,0,0,0,0,4.6,0,0,0,0,0,0
120,0,0,0,0,5.88,0,3.92,0,0,3.92,0,0,0,0,0,0,0,3.92,0,3.92,0,0,0,0,3.92,1.96,0,0,0,0,0
