stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,taste,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0.82,0.82,0,0,3.28,0,0,0,0.82,2.46,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,2.42,0,0,3.22,0,0,1.61,0,0,0,0,1.61
 48-58,0,0,0,0,0,0.57,0,0,1.72,0,0,0,0,0,0.57,0,0.57,1.15,0,0,2.3,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,4.91,0,7.85,0,0.98,0,0,0,0.98,0,0.98,6.87,0,0,2.94,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,11.78,0,16.69,0,1.96,0.98,0,0.98,5.89,0,0,22.58,0,0,1.96,0,0,0,0,0
 84-94,0,1.06,0,0,0,0,21.24,0,31.86,0,2.12,0,0,0,0,0,0,30.8,0,0,3.19,0,0,0,0,0
 96-106,2.19,0,0,1.09,0,0,15.3,0,53.55,1.09,1.09,0,0,0,6.56,0,0,37.16,0,1.09,4.37,0,0,0,0,0
108-118,0,2.3,2.3,0,0,1.53,14.55,0,34.47,0,1.53,0.77,0.77,0,1.53,0.77,0,32.17,0,0,2.3,0,0,0.77,0,0
120,0,0,0,0,1.96,0,3.92,0,29.4,0,3.92,0,0,0,3.92,0,0,35.28,0,1.96,3.92,0,0,0,1.96,0
