stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,39.43,0,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,12.59,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,6.29,0,0,0,3.15,0,3.15,0,0,0
 14-21,0,0,2,10,0,0,0,0,20,1,0,0,0,0,2,1,70,2,2,3,0,0,0,2,7,0,89,0,0,0
 24-34,0,1.64,0,4.93,0,3.28,0,0,27.91,0,0,0,0,1.64,1.64,2.46,178.95,0,18.06,4.1,0,0,0,0,4.93,2.46,93.58,0,0,0
 36-46,0,0,0,4.03,0,0.81,0.81,0,24.98,0,0,0.81,0,0,0,0,223.17,0,29.81,2.42,0,0,0,0,2.42,0,92.65,0,0,0
 48-58,0,0,0,0.57,0.57,6.31,1.15,0,28.12,0,0,0.57,0.57,0,0.57,0,195.09,0,13.2,0,0,0,0.57,0,0.57,0,53.36,0,0,0
 60-70,0,0,0,0.98,0,6.87,0.98,0,36.32,0,0,0,1.96,0.98,0.98,0,447.57,0,16.69,0.98,0,0,0,0,1.96,0,64.78,0,0,0.98
 72-82,0,0,0,1.96,0,17.67,0,0,53.01,0,0,0,0,0.98,3.93,0,415.24,0,22.58,0.98,0,0,0,0,0.98,0,47.12,0,0.98,0
 84-94,0,1.06,0,4.25,0,21.24,0,1.06,28.68,0,0,0,0,0,2.12,0,211.35,0,23.36,0,0,0,1.06,0,3.19,0,31.86,0,0,0
 96-106,0,0,0,3.28,0,12.02,0,0,36.06,0,0,0,0,0,3.28,0,209.83,1.09,30.6,0,0,0,1.09,0,1.09,0,29.51,0,1.09,0
108-118,0,0,0,3.06,0,8.43,0,0,28.34,0.77,0,0,0,0,0,0,203.75,0,14.55,3.06,0,0.77,0,0,0.77,0,21.45,0,0,0
120,0,0,0,1.96,0,7.84,0,0,23.52,0,0,0,0,0,0,0,188.14,0,5.88,0,0,0,0,0,0,0,5.88,1.96,0,0
