stage,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,1,6,3,3,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.46,0,0.82,6.57,10.67,0,0,0,3.28,0,4.93,3.28,3.28,0,0,0
 36-46,0,0,0,0,7.25,0,0.81,0,0,0,0,0.81,4.03,12.09,0.81,0,0,0.81,0,7.25,0.81,1.61,0,0,0
 48-58,0,0.57,0,1.72,10.9,0,0,0,0,0,0,1.72,0.57,12.05,0.57,0,0,0,0,1.72,0,1.72,1.15,0,0
 60-70,0,0,0,2.94,12.76,0,1.96,0,0,0,0,2.94,2.94,6.87,0,0,0,0,0,2.94,0,0.98,0.98,0,0
 72-82,0,0,0,3.93,3.93,0,0,0,0,0,0,4.91,2.94,5.89,0,0,0,0,0,2.94,0,0,0,0,0
 84-94,0,1.06,0,2.12,10.62,0,2.12,0,1.06,1.06,1.06,5.31,4.25,7.43,0,0,0,0,0,4.25,0,1.06,0,0,0
 96-106,1.09,0,0,5.46,14.21,0,2.19,0,0,4.37,0,7.65,2.19,8.74,0,1.09,0,2.19,0,5.46,0,0,1.09,0,1.09
108-118,0,1.53,0.77,3.06,11.49,0,2.3,1.53,0,1.53,0,3.83,5.36,7.66,0,0,0,0.77,0,11.49,0,0,0,0.77,0
120,0,0,0,1.96,17.64,1.96,0,1.96,0,0,0,0,5.88,5.88,0,0,0,0,0,1.96,0,0,0,1.96,0
