stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,3,1,0,0,0,0,10,1,0,0,0,0,1,17,0,0,0,0,3,0,1
 24-34,0,0,0,0.82,1.64,0.82,0,0,0,0,27.91,18.06,0,0.82,0,0,0,25.45,0,0,0,0.82,0.82,0,5.75
 36-46,0,0,0,0,0,0,0,0,0.81,0,28.2,2.42,0,0,0,0,0,7.25,1.61,0.81,0,0,4.83,0,4.03
 48-58,0,0,0,0,0,1.72,0,0,1.15,0,26.97,1.15,0.57,0.57,0,0,0.57,5.74,1.15,0,0,0.57,1.15,0,6.31
 60-70,0,0,0,0,0,0.98,0,0,0.98,0,25.52,0.98,0,0,0,0,0,2.94,0,0,0,0.98,2.94,0,6.87
 72-82,0,0,0,0,9.82,0.98,0,0,0,0.98,55.95,3.93,0,0.98,0,2.94,0,6.87,0,0,0,0,0,0,18.65
 84-94,0,2.12,0,0,7.43,2.12,0,0,1.06,3.19,94.52,2.12,0,2.12,1.06,0,0,2.12,1.06,0,0,0,2.12,0,18.05
 96-106,0,1.09,0,3.28,4.37,0,0,0,2.19,3.28,125.68,1.09,1.09,4.37,0,2.19,0,3.28,1.09,0,0,1.09,1.09,0,19.67
108-118,0,1.53,0,0.77,6.13,0.77,0.77,0,1.53,1.53,105.7,2.3,0,3.06,0,3.06,0,6.89,0,0,0,0,0.77,0,12.26
120,0,1.96,0,0,5.88,0,0,1.96,0,3.92,101.91,1.96,0,0,0,0,0,0,0,1.96,0,0,0,1.96,27.44
