stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,31.47,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,130,1,2,0,0,0,0,0,0,4,0,3,0,0,20,0,0,11,13,2,0,0,0,0,1,0,0,4,9,0,0,0,0,0
 24-34,0,0,0,57.46,0.82,2.46,0,9.85,0,0,0,0,9.85,0,0,0,1.64,55,0,0,18.88,24.63,0.82,0.82,0,0,0.82,1.64,0,1.64,0,15.6,0,0,1.64,0,0
 36-46,0,0,0,37.87,0,2.42,0,2.42,0.81,0,0,0,8.06,0,0,0.81,0.81,104.74,0.81,1.61,20.14,27.39,2.42,0,0,0,0,3.22,0.81,0,0,18.53,0,0,0,0,0
 48-58,0,0,0,25.25,1.15,4.59,0,10.9,4.02,2.87,0,0,2.87,0,0,0.57,0,158.37,0,9.18,32.71,38.44,3.44,0,0,0,0.57,0.57,0,0,0,18.94,0,1.15,0,0,0
 60-70,0,0,0,19.63,0,4.91,0,11.78,4.91,4.91,0,0,0.98,0,0.98,0,0,158.03,0,10.8,18.65,45.15,3.93,0,0,0,0,0.98,0,0,0,21.59,0,5.89,0,3.93,0
 72-82,0,0,0,18.65,0,22.58,0,4.91,6.87,20.61,0,0,0,0,0,3.93,0,262.1,0,21.6,31.41,33.38,1.96,0,0.98,0,0.98,0.98,0,0,0,6.87,0.98,5.89,0,9.82,0
 84-94,0,0,0,29.74,1.06,19.12,0,14.87,2.12,10.62,0,0,2.12,0,1.06,0,1.06,174.17,0,14.87,24.43,11.68,3.19,1.06,0,0,2.12,6.37,2.12,0,0,12.74,1.06,11.68,0,7.43,2.12
 96-106,0,0,0,16.39,2.19,10.93,0,17.49,10.93,20.76,0,0,2.19,0,1.09,1.09,0,166.11,0,18.58,16.39,32.79,0,0,0,0,2.19,3.28,0,0,0,8.74,2.19,7.65,1.09,15.3,1.09
108-118,0,0,0,13.02,1.53,6.13,0,16.09,6.89,16.85,0.77,0,1.53,0,0,0.77,0,180,0.77,19.92,16.09,13.02,3.06,0,0,0,3.06,3.06,0,0,0,6.13,3.06,3.83,0,9.19,2.3
120,0,0,0,29.4,0,9.8,1.96,19.6,3.92,17.64,5.88,0,0,1.96,1.96,3.92,0,143.06,0,13.72,9.8,23.52,1.96,0,0,0,13.72,3.92,0,0,0,3.92,5.88,5.88,0,11.76,1.96
