stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,10.51,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,18.88,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,1,0,0,0,30,0,0,0,1,0,37,0,0,3,0,0,0,0,0,10,2,1,0,0,0,0
 24-34,0,0,0,0,2.46,1.64,0,0,0,69.77,0,0,0,0,0.82,50.89,0,0.82,1.64,0,0,0.82,0,0,0.82,0,0.82,0,0.82,0,0
 36-46,0,0,0,0,0,1.61,0,0.81,0,58.01,0,0,0,0.81,1.61,49.95,0.81,0,0.81,0,0,0,0,0.81,0,0,3.22,0,0.81,0,0
 48-58,0,0,0,1.15,0,0.57,0,0,0,40.17,0,0,0,6.89,1.15,31.56,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0.98,0,1.96,0.98,0,0,34.35,0,0,0,0.98,0,47.11,0,0,0,0,0.98,0,0,0,0,0,0,0.98,4.91,0,0
 72-82,0,0,0,1.96,0,1.96,0,0,0,55.95,0,0,0,2.94,0.98,36.32,0,0,0,0,0,0,0,0,0,0,2.94,2.94,7.85,0,0
 84-94,0,0,0,3.19,0,5.31,0,3.19,0,60.54,0,0,0,6.37,0,13.81,0,0,0,0,0,0,0,0,0,0,0,5.31,4.25,0,1.06
 96-106,0,0,0,16.39,1.09,1.09,0,0,0,85.24,1.09,0,0,4.37,0,17.49,0,0,1.09,0,0,0,0,0,0,0,0,1.09,12.02,1.09,0
108-118,0,0,0,6.89,0,1.53,0,0,0.77,56.68,0.77,0,0.77,3.06,0,13.79,0,0,0,0,0,0,0,0,0,0,0,3.06,6.13,0,0
120,0,0,0,3.92,0,1.96,0,0,0,101.91,0,3.92,0,0,1.96,7.84,0,1.96,0,0,0,0,0,0,0,0,0,3.92,9.8,0,0
