stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,39.43,0,0,13.14,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,0,0
 24-34,0,0,0.82,0,0,4.93,0.82,0,0,0,0.82,0,0.82,0,0,1.64,0,0,1.64,9.85,0,0.82,0,0,0,0,9.85,3.28,0.82,0.82
 36-46,0,0,0,0,1.61,9.67,0,0,0,0,0,0,0,0,0,0,0,0,2.42,6.45,0,0,0,0.81,0,0,3.22,0,0,0
 48-58,0,0,0,0,3.44,6.89,0.57,0,0,0,0,0,0,0,0,1.15,0,0,1.15,6.89,0,0,0,0.57,0,0,5.16,0,2.3,0
 60-70,0,0,0.98,0,1.96,12.76,0,0.98,0,0,0,0,0,0,0.98,1.96,0,0,6.87,7.85,0.98,0,0,0.98,0,0,8.83,0,0.98,0
 72-82,0,0,0,0,4.91,9.82,0,0.98,0,0,0,0,0,0,0,1.96,0,0,1.96,3.93,0,0,0,0,0,0,1.96,0,1.96,0
 84-94,0,0,0,0,0,9.56,0,1.06,0,0,0,0,0,0,0,3.19,0,0,3.19,5.31,0,0,0,1.06,0,0,3.19,0,1.06,0
 96-106,0,0,0,1.09,5.46,30.6,0,4.37,1.09,0,0,2.19,0,1.09,0,3.28,1.09,1.09,8.74,10.93,0,0,0,3.28,0,0,8.74,0,0,0
108-118,0,0,0.77,1.53,3.06,25.28,0,0,0,0,0,0,0.77,1.53,0,4.6,0,0,9.96,12.26,0,0,0,0.77,0,0,12.26,0,0,0
120,0,0,1.96,0,0,37.24,0,0,0,0,0,1.96,0,0,0,0,0,0,3.92,5.88,0,0,0,0,0,0,5.88,0,0,0
