stage,blastomeres,epidermis,eye,glial,ionocyte,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,visceral.smooth.muscle
  3-4,382.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,0,0,0,5.26,0,7.89,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,22.03,0,18.88,0,3.15,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,5,0,0,0,0,1,2,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0.81,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0,0.77,0,0.77,0.77,0,0,0,0,0,0,0.77
120,0,1.96,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0
