stage,blastomeres,epidermis,exocrine.pancreas,eye,immune,lateral.line,liver,mesenchyme,neural,otic,paraxial.mesoderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0
 48-58,0,0.57,0,0.57,0,0,0,0.57,1.72,0,0,1.72,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,1.96,0,0,0.98,0.98,0,0
 72-82,0,0,0,0,0,0,0,0,5.89,0.98,0,0,0,0,0.98
 84-94,0,0,0,1.06,1.06,0,0,0,2.12,0,0,0,0,0,0
 96-106,0,1.09,2.19,6.56,0,1.09,0,0,3.28,0,0,1.09,1.09,0,0
108-118,0,0.77,5.36,3.06,0,0,0.77,0,3.83,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,7.84,0,0,0,0,0,0
