stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,316.27,8091.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.56,0,0,0,0,0,0,0,0
  5-6,153.24,1930.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,24.52,12.26,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.75,2.63,0,0,18.4,7.89,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0,40.91,0,0,0,0,0,0,0,0,0,151.05,9.44,0,0,6.29,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,3,8,63,0,0,0,0,1,0,0,3,11,0,9,0,0,0,0,0,0,0,10,0,1,54,0,12,0,28,0,0,0,0,0,0
 24-34,0,0,4.1,13.95,59.1,0,0,1.64,0,4.93,0,0,4.1,4.93,0.82,7.39,12.31,2.46,0,0,4.93,0,0,26.27,0,4.1,49.25,0,55,0,36.12,1.64,0,0,1.64,0,0
 36-46,0,0,0,1.61,24.98,0,0,0,0.81,4.03,0.81,0,6.45,0.81,0,4.03,8.86,4.03,0,1.61,8.86,0,1.61,29.81,0,5.64,24.98,0,48.34,0,27.39,0,0,0,0.81,0,0.81
 48-58,0,0,0,0.57,17.21,0,0,2.87,0,2.87,0.57,0.57,14.92,4.02,0,3.44,10.33,3.44,0,1.72,8.03,0,0,15.49,0.57,4.59,33.85,0,45.33,0,14.35,0.57,0,0,0.57,0,0
 60-70,0,0,2.94,0,39.26,0,0.98,4.91,0,7.85,0,0,28.46,0.98,0,5.89,2.94,7.85,0,13.74,6.87,0,0,13.74,0,6.87,20.61,0,40.24,0,11.78,0,0.98,0,0,0,0
 72-82,0,0,12.76,1.96,28.47,0.98,2.94,8.83,0,9.82,0.98,1.96,74.61,0,0.98,4.91,14.72,2.94,0,25.52,14.72,0.98,0,35.34,0,6.87,53.01,0,55.95,0.98,17.67,0.98,0.98,0,0,0.98,0
 84-94,0,0,10.62,1.06,57.35,0,9.56,9.56,0,11.68,0,2.12,98.77,1.06,1.06,11.68,23.36,7.43,0,23.36,11.68,0,0,20.18,0,11.68,49.92,0,157.18,0,31.86,2.12,4.25,0,0,0,0
 96-106,0,0,14.21,3.28,72.13,1.09,4.37,12.02,0,12.02,0,4.37,106.01,0,1.09,12.02,25.14,7.65,0,19.67,12.02,0,1.09,20.76,0,43.71,56.83,0,109.28,0,18.58,1.09,8.74,0,2.19,0,1.09
108-118,0,0,6.89,3.06,85.02,0,13.79,6.13,0.77,19.15,0,4.6,75.06,0,0.77,7.66,6.89,7.66,0.77,16.85,9.19,0,0.77,13.79,0.77,19.92,45.19,0,114.13,0,14.55,0,6.89,0,0,0,0
120,0,0,7.84,0,72.51,0,7.84,1.96,0,17.64,1.96,3.92,84.27,0,0,3.92,23.52,1.96,0,19.6,7.84,0,1.96,31.36,1.96,17.64,39.2,0,131.31,1.96,17.64,0,3.92,3.92,0,0,1.96
