stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,21.03,7.89,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,6.29,6.29,0,0,0,3.15,0,0,0,0,0,81.82,0,0,0,0,0,0,0,0,0,0,0,69.23,28.32,0,0,62.94,0,0,3.15,0,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,10,2,0,1,0,0,0,0,3,1,1,0,0,0,0,0,1,12,0,0,9,26,8,0,0,1,0,1,0,7,0,0,15,19,0,0,2,0,0
 24-34,0,0,0,4.93,1.64,0,7.39,0,0.82,3.28,1.64,0,0,3.28,0,0,0,0,0,0,32.83,0.82,0,24.63,32.83,8.21,0,0,0,0,2.46,0,0,0,0.82,8.21,20.52,0,0,8.21,0,0
 36-46,0,0,0,4.03,0,0,3.22,0,0.81,5.64,3.22,0,0,1.61,0,0,0,0,0,0,92.65,0,1.61,28.2,36.26,8.06,0,0.81,0,0,2.42,0,0.81,0,0,0,20.14,0,0,1.61,0,1.61
 48-58,0,0,0,1.72,0,0,8.03,0.57,0.57,5.16,5.16,0,0.57,1.15,0,0,0,0,0,0,116.48,0,1.72,16.64,16.64,5.16,0,1.15,0,0.57,0,0,0,0,1.15,0,13.77,0,0.57,2.3,0,1.72
 60-70,0,0,0,1.96,0,0,7.85,0,3.93,7.85,15.7,0,0,0.98,0,0,0.98,0,0,0,222.81,0,2.94,12.76,9.82,6.87,0,2.94,0,0,0.98,0,0,0,0,0,8.83,0,1.96,3.93,0.98,6.87
 72-82,0,0,0,0.98,0,0,19.63,0,0.98,7.85,20.61,0.98,0,2.94,0,0,0,0.98,0,0,352.42,0,6.87,16.69,27.49,7.85,0.98,4.91,0,0,0,0,0,0,0,0,5.89,0.98,8.83,7.85,9.82,1.96
 84-94,0,0,0,4.25,1.06,0,11.68,0,1.06,5.31,9.56,0,0,2.12,0,1.06,2.12,1.06,0,0,220.9,0,3.19,14.87,20.18,9.56,0,3.19,0,1.06,2.12,0,0,0,0,0,7.43,0,4.25,8.5,7.43,3.19
 96-106,0,0,0,6.56,0,2.19,15.3,2.19,0,9.84,15.3,1.09,0,4.37,2.19,0,1.09,1.09,0,0,216.38,0,4.37,15.3,25.14,4.37,1.09,3.28,0,1.09,0,1.09,0,1.09,0,0,6.56,0,6.56,7.65,5.46,0
108-118,0,0,0,7.66,0,14.55,11.49,1.53,4.6,4.6,9.96,1.53,0,1.53,0,0,0,0.77,0.77,0,189.19,0,4.6,11.49,14.55,9.19,0,4.6,0,6.13,0.77,0,0,0,0.77,0,2.3,0,4.6,7.66,5.36,3.06
120,0,0,0,3.92,0,1.96,5.88,0,3.92,5.88,9.8,0,0,3.92,0,1.96,0,0,0,0,160.7,0,3.92,7.84,9.8,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,9.8,7.84,3.92
