stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,27,241,46,0,122,0,2,0,28,7,3,6,1,5,1,3,2,2,122,0,0,106,1288,55,4,16,26,0,6,9,197,19,17,274,354,0,0,6,0,4
 24-34,0.82,1.64,3.28,30.37,3.28,0,72.24,0,1.64,3.28,9.03,0,0,2.46,2.46,3.28,1.64,2.46,1.64,0.82,71.41,0.82,0,22.98,553.26,4.93,3.28,7.39,0,0,9.85,0.82,0,0,0.82,10.67,96.04,0,0,11.49,0,0
 36-46,0,0,0.81,46.73,3.22,0,192.55,1.61,1.61,9.67,41.89,4.83,0,0,7.25,2.42,1.61,5.64,3.22,3.22,186.11,0.81,0.81,53.17,771.03,5.64,4.03,11.28,0,0,24.98,2.42,2.42,8.86,2.42,0,202.22,0,0,14.5,0,5.64
 48-58,0,0,0,14.35,0.57,0,170.99,0,4.02,4.02,45.33,0.57,0,1.15,5.74,1.72,0.57,3.44,2.3,1.15,130.83,1.15,2.87,27.54,351.17,3.44,6.89,9.75,0,0,11.48,0,0,1.15,1.15,0,68.86,0,0,17.79,0,4.59
 60-70,0,0,0,26.5,1.96,0,215.93,2.94,0.98,9.82,63.8,2.94,0,0,11.78,1.96,7.85,9.82,0,1.96,217.9,0,7.85,22.58,351.38,1.96,3.93,15.7,0,0.98,18.65,0.98,0,4.91,2.94,0,33.37,0,0.98,16.69,0,6.87
 72-82,0,5.89,0,29.45,7.85,0,170.81,1.96,2.94,5.89,67.73,10.8,0,4.91,26.5,7.85,6.87,17.67,0.98,0.98,196.33,0.98,3.93,25.52,485.92,0.98,20.61,35.34,0,0.98,23.56,0.98,0,3.93,0,0,28.47,0.98,4.91,45.16,5.89,4.91
 84-94,0,5.31,0,30.8,12.74,0,127.44,1.06,11.68,8.5,61.6,21.24,4.25,4.25,32.92,9.56,5.31,14.87,4.25,5.31,149.75,4.25,5.31,26.55,238.96,3.19,8.5,55.23,0,0,70.09,0,0,13.81,1.06,0,14.87,2.12,8.5,31.86,7.43,7.43
 96-106,0,3.28,0,36.06,12.02,0,78.68,1.09,3.28,1.09,45.9,13.11,0,4.37,49.18,12.02,4.37,29.51,1.09,0,116.93,2.19,3.28,13.11,163.93,1.09,12.02,64.48,0,2.19,144.26,2.19,0,8.74,0,0,16.39,5.46,7.65,29.51,7.65,4.37
108-118,0,2.3,0.77,55.15,12.26,0,96.51,0.77,8.43,3.83,42.89,14.55,0,0,42.89,12.26,9.19,17.62,6.13,1.53,120.26,4.6,6.13,16.85,261.19,4.6,9.19,45.19,0,1.53,110.3,2.3,0,5.36,0,0,4.6,3.06,1.53,48.26,0.77,5.36
120,0,0,0,23.52,9.8,1.96,58.79,1.96,11.76,5.88,43.12,11.76,0,7.84,56.83,9.8,1.96,19.6,1.96,0,72.51,11.76,7.84,29.4,197.94,0,11.76,45.08,0,1.96,166.58,0,0,1.96,0,0,11.76,0,1.96,29.4,0,3.92
