stage,blastomeres,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,melanocytes,mesenchyme,mucous,neural,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,2.63,0,13.14,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,9.44,0,6.29,0,12.59,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,27,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,6.57,0,0,0,74.7,0,1.64,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0.81,0,0,1.61,3.22,0,0,0,78.15,2.42,0,0
 48-58,0,0.57,0,1.72,0,0,0,0,0,0,0,0,0.57,0,2.3,0,0,0,47.05,2.3,0,0
 60-70,0,1.96,0,0.98,0,0.98,0,0,0,0,0,0,0,0,1.96,0.98,0,0,70.67,0.98,0,0.98
 72-82,0,3.93,0,1.96,0,0.98,0,0,0,0,1.96,0,0,0.98,0.98,0,0,0,38.28,0.98,0,0
 84-94,0,5.31,0,3.19,0,1.06,0,0,0,0,5.31,0,0,2.12,3.19,0,0,0,128.51,0,0,0
 96-106,0,18.58,0,1.09,1.09,2.19,0,0,0,1.09,3.28,0,0,1.09,3.28,1.09,0,1.09,99.45,0,0,0
108-118,0,13.79,0.77,0,0,0.77,0.77,0.77,0,0,5.36,0,0,1.53,1.53,0,0,0,91.15,0,0,0
120,0,25.48,0,0,0,7.84,0,0,0,0,3.92,0,1.96,0,5.88,0,0,0,92.11,1.96,0,0
