stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,9.44,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,53.5,6.29,0,0,9.44,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,6,1,4,0,0,22,0,0,0,0,1,0,0,0,0,2,0,0,1,34,0,3,8,3,0,1,1,14,1,69,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,3.28,0,0,39.4,0,0,0,0,0,0.82,1.64,0,0,0.82,0,0,0,22.16,0.82,9.03,2.46,0,1.64,0,0,12.31,1.64,64.03,0,0,0,0
 36-46,0,0,0,0,0.81,0,4.03,0.81,1.61,12.89,0,0,0.81,0.81,0,0,0,0,0,0,0.81,0,0,32.23,0,23.36,1.61,0,0,0,0,2.42,0,37.87,0,0,0,0
 48-58,0,0,0,0,0,0,3.44,0,0.57,14.35,0.57,0,0,0,0,0,1.15,0,0.57,1.72,0,0,0.57,20.08,0,10.9,0,0,0.57,0,0,2.3,0,35,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,8.83,0,0,10.8,0,0,0,0.98,0,0,0.98,0,0,0,0.98,0,0.98,19.63,0,17.67,2.94,0,0,0,0,0.98,0,11.78,0,0,0,0
 72-82,0,0,0,0,0,0,3.93,0,0,12.76,0.98,0,0,0,0,0,0,0,0,6.87,0,0,1.96,13.74,0,25.52,11.78,0,0,0,0,0.98,0,8.83,0,0,0,0
 84-94,0,0,0,0,2.12,0,7.43,0,0,8.5,2.12,0,0,0,0,0,2.12,0,0,1.06,0,1.06,0,11.68,0,15.93,18.05,0,0,0,0,3.19,0,8.5,1.06,0,0,0
 96-106,0,0,0,0,2.19,0,3.28,0,0,6.56,2.19,0,0,0,0,0,8.74,1.09,0,3.28,0,0,2.19,8.74,0,34.97,17.49,0,0,0,0,0,0,2.19,0,0,1.09,0
108-118,0,0,0,0,3.06,0,3.06,1.53,0.77,9.96,0.77,0,0,1.53,0,0,3.83,0,0,5.36,0,0,0.77,9.96,0,26.04,15.32,0,1.53,0,0,3.06,0,3.83,0.77,0,0.77,0.77
120,0,0,1.96,0,1.96,0,7.84,0,0,0,0,0,0,0,0,0,5.88,0,0,3.92,0,0,0,5.88,0,11.76,9.8,0,0,0,0,7.84,0,5.88,0,1.96,1.96,0
