stage,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,222,0,0,4,0,0,0,2,0,0,0,0,1,1,4,0,0,0,2,0,0,4,0,0,0
 24-34,0,0,83.73,0,2.46,3.28,0,0,0,0,0,0.82,0,0,0.82,0,5.75,2.46,0,0,14.78,0,0,0,0.82,0,0
 36-46,0,0,15.31,0,0.81,0,0,0,0,0.81,0,0,0,0.81,0,0,1.61,3.22,0,0,12.89,0,0,0,0.81,0,0
 48-58,0,0,4.02,0,0.57,0.57,0.57,0,0,0,0,0,0,1.15,0.57,0,2.3,1.15,0.57,0,5.16,0,0.57,0,0,0,0
 60-70,0,0,5.89,0,2.94,2.94,0.98,0,0,0.98,0,0,0,0.98,0,0,1.96,2.94,0,0,11.78,0,0,0,0,0.98,0
 72-82,0,0,4.91,0,5.89,2.94,0.98,0.98,0,0.98,0.98,0.98,0,0,0.98,0,3.93,0.98,0,0,4.91,0,0,0,0,0.98,0
 84-94,0,0,7.43,0,4.25,2.12,0,1.06,0,0,1.06,1.06,0,0,0,0,2.12,1.06,0,0,30.8,1.06,0,0,0,1.06,1.06
 96-106,0,0,8.74,0,6.56,1.09,0,0,0,0,0,4.37,0,1.09,1.09,0,6.56,4.37,0,0,18.58,0,0,0,0,0,0
108-118,0,0.77,9.96,2.3,4.6,2.3,0,1.53,0.77,0.77,0,0,0.77,0.77,0,0,1.53,3.06,0,0,12.26,0,0.77,0,0,1.53,0
120,0,0,5.88,0,1.96,1.96,0,0,0,0,0,1.96,0,0,0,0,1.96,7.84,0,0,5.88,0,0,0,0,0,0
