stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,iridophores,mesenchyme,mural.cell,neural,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,1,3,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,9.03,0,0,0,0,0,1.64,0,0
 36-46,0,0,0,0,3.22,0,0,0,2.42,0,8.06,0,0,0,0,0,3.22,0.81,0
 48-58,0,0,0,0,4.59,0,1.15,0,0,0,8.61,0,0,0.57,0,0,1.15,0,0
 60-70,0,0,0,0,6.87,0,0.98,0.98,0,0,6.87,0,0.98,0,0,0,0.98,0,0
 72-82,0,0,0.98,0,6.87,0.98,0.98,0,1.96,0,3.93,0.98,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,3.19,0,0,0,0,1.06,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,3.28,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0.77
120,0,0,0,0,1.96,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0
