stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
 24-34,0,0,6.57,0,1.64,0,0.82,0,0,0,0.82,0,0,0,5.75,0,3.28,1.64,1.64,0,2.46,0,0.82,0.82,0,0,0,0
 36-46,0,0,0.81,0,0,0,1.61,0,0,0.81,3.22,0,0,0,13.7,0,7.25,1.61,0.81,0,2.42,0.81,0,0.81,0,0,0,0
 48-58,0,0,1.72,0,0.57,0,1.72,2.3,0,0,0.57,0,0,0,13.77,0,3.44,4.59,0,0,2.3,0,0,1.72,0,0,0.57,0
 60-70,0,0,0.98,0,0.98,0,4.91,6.87,0,0,0,0,0,0,13.74,0,2.94,1.96,0.98,0,2.94,0,0,0.98,0,1.96,1.96,0
 72-82,0,0,4.91,0,3.93,0,0.98,2.94,1.96,0.98,0.98,0,0,0,49.08,1.96,5.89,3.93,0.98,0,8.83,0,0,0.98,0.98,0,0,6.87
 84-94,0,0,7.43,0,4.25,0,6.37,4.25,0,1.06,0,0,1.06,0,30.8,2.12,4.25,3.19,0,0,14.87,0,0,0,1.06,1.06,1.06,1.06
 96-106,0,2.19,15.3,0,5.46,0,3.28,5.46,1.09,1.09,1.09,1.09,0,1.09,59.01,5.46,2.19,6.56,0,0,17.49,0,0,0,1.09,0,2.19,1.09
108-118,0,0.77,19.15,0.77,8.43,0.77,6.13,3.06,0.77,3.83,2.3,0,0,0.77,52.85,0.77,0,5.36,0,0,9.19,0,0,0.77,0,0,2.3,0.77
120,0,0,15.68,0,1.96,0,5.88,3.92,0,0,1.96,3.92,0,0,39.2,1.96,1.96,5.88,0,0,7.84,0,0,0,0,0,1.96,1.96
