stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,263.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,0,128.81,0,0,0,10.51,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,155.09,5.26,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,69.23,0,0,0,15.73,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,147.91,28.32,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,1,0,2,0,0,0,0,0,7,0,0,1,0,0,0,0,3,0,0,4,27,1,1,0,0,0,0,2,1,26,3,6,0,0,2,0,0
 24-34,0,0,0,1.64,0.82,0,8.21,6.57,0,0,0.82,0.82,0.82,3.28,0.82,0,0,0,0,0,5.75,0,0,2.46,32.01,0,0,1.64,0,0,5.75,0,0,73.88,3.28,10.67,0,0,1.64,0,0.82
 36-46,0,0,0,1.61,0,0,9.67,77.34,0,0.81,0.81,0,0.81,1.61,0.81,0,0,0,0,1.61,11.28,0,0,6.45,42.7,0,0.81,0.81,0,0,3.22,0.81,0,116.02,0,8.86,0,0,3.22,0,1.61
 48-58,0,0,0,2.87,0.57,0,28.69,223.78,0.57,0.57,8.03,0,1.72,1.72,0.57,0.57,0,0,1.72,1.15,14.92,0,0.57,12.05,70,1.72,0,1.15,0,0,2.3,0,0,136.57,0,17.21,0,0,2.87,0,0.57
 60-70,0,0,0,0.98,1.96,0,71.65,185.51,0,0,6.87,0,1.96,2.94,0,1.96,0.98,0,19.63,0,12.76,0.98,0,10.8,53,0,0.98,1.96,0.98,0.98,1.96,0,0,96.19,0,6.87,0,0,4.91,0,1.96
 72-82,0,0,0,3.93,7.85,0,91.29,125.65,0.98,1.96,11.78,1.96,1.96,4.91,1.96,0.98,0,0,129.58,0,39.27,0.98,0.98,9.82,69.7,0,0.98,3.93,0,0.98,2.94,0,0,55.95,0,5.89,0,1.96,10.8,2.94,2.94
 84-94,0,0,0,5.31,3.19,2.12,63.72,220.9,1.06,3.19,11.68,4.25,0,5.31,1.06,1.06,3.19,2.12,465.17,2.12,29.74,0,0,6.37,44.61,1.06,1.06,6.37,0,1.06,10.62,0,1.06,108.33,0,4.25,0,1.06,8.5,0,1.06
 96-106,0,0,0,14.21,13.11,6.56,69.94,299.44,3.28,4.37,20.76,5.46,1.09,6.56,6.56,0,1.09,3.28,716.91,1.09,39.34,3.28,2.19,7.65,170.48,1.09,4.37,8.74,0,2.19,20.76,1.09,1.09,108.19,0,2.19,2.19,1.09,12.02,5.46,4.37
108-118,0,0,1.53,13.02,13.79,8.43,62.81,224.43,0.77,4.6,14.55,2.3,0,6.13,2.3,0.77,2.3,1.53,1427.75,0.77,51.32,0,2.3,19.15,111.83,0.77,0.77,3.06,0,0.77,16.09,0,1.53,93.45,0,3.83,1.53,0,6.89,0.77,2.3
120,0,0,0,13.72,5.88,5.88,35.28,97.99,0,5.88,19.6,1.96,0,0,5.88,0,0,0,705.52,0,43.12,0,3.92,21.56,97.99,0,3.92,5.88,0,0,3.92,0,0,31.36,0,1.96,0,0,7.84,0,0
