stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,liver,melanocytes,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,4.91,0,1.96,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,0,0,0,0,30.43,0,8.83,0,0,2.94,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.19,0,0,1.06,0,0,69.03,0,3.19,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,2.19,2.19,6.56,0,1.09,0,1.09,0,449.16,0,8.74,1.09,1.09,42.62,0,0,1.09,0,1.09,0,0,1.09
108-118,0,0,1.53,0,3.83,0.77,0,3.06,1.53,1.53,821.88,0.77,9.19,0,0,30.64,1.53,0,0,0,0.77,0.77,0.77,0.77
120,0,0,0,0,1.96,0,0,0,1.96,0,536.98,0,0,0,3.92,23.52,0,0,1.96,0,0,0,0,0
