stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,3.28,0,0,0,0,0,0.82,0,0,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,2.42,0,0.81,0,0.81,0,0,0,0,0,0,0,0,4.83,0,0,1.61,21.75,0,0.81,1.61,0,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,1.72,0,0,14.35,0,1.15,0.57,1.15,1.15,0,0,0.57,0,0,1.72,0,6.89,0,1.15,1.72,16.07,1.15,0.57,3.44,0,0,1.15,0,0,0,0,0.57,1.15,0,0
 60-70,0,0.98,0,9.82,0,0,21.59,0,0,0,11.78,4.91,0,0,0.98,0,0,4.91,0,49.08,0,4.91,11.78,31.41,0.98,0,3.93,0,1.96,1.96,0.98,0,0,0,0.98,0,0,0
 72-82,0,3.93,0,20.61,0,3.93,25.52,0,0.98,0,37.3,21.6,0,0,0.98,0,0,11.78,0,115.84,0,6.87,20.61,49.08,0.98,0.98,9.82,0,1.96,8.83,2.94,0,3.93,0.98,5.89,2.94,1.96,0
 84-94,0,2.12,0,28.68,2.12,3.19,33.99,0,0,0,22.3,57.35,2.12,0,4.25,1.06,0,25.49,0,56.29,0,2.12,15.93,26.55,4.25,2.12,4.25,0,2.12,32.92,5.31,0,0,1.06,2.12,2.12,4.25,1.06
 96-106,1.09,2.19,0,62.29,2.19,9.84,34.97,1.09,16.39,0,28.41,67.76,2.19,0,3.28,1.09,1.09,89.61,1.09,139.88,1.09,8.74,17.49,75.41,2.19,1.09,12.02,0,4.37,59.01,0,1.09,6.56,2.19,1.09,5.46,2.19,1.09
108-118,0,2.3,0.77,124.09,0.77,25.28,36,0.77,21.45,3.06,36,65.87,2.3,1.53,8.43,0.77,0,252,0,167.75,1.53,10.72,23.74,76.6,11.49,3.83,15.32,0,5.36,42.89,3.83,0,2.3,1.53,3.83,8.43,3.83,0.77
120,0,0,0,84.27,0,5.88,17.64,0,5.88,1.96,17.64,45.08,0,0,3.92,0,0,97.99,0,107.79,3.92,3.92,19.6,45.08,9.8,0,13.72,0,3.92,17.64,1.96,1.96,1.96,0,0,3.92,9.8,0
