stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,7.89,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,1,16,1,0,0,1,0,0,5
 24-34,0,0,1.64,4.1,0,0,6.57,0,0,0,71.41,2.46,0,0,0,0,0,26.27
 36-46,0,0.81,3.22,20.14,0.81,0,9.67,0,0,0,119.24,0,0.81,0,0,0,0.81,45.12
 48-58,0,0.57,1.15,23.53,0,0,4.59,0,2.87,0,101.56,0.57,0,0,0,0,0,22.38
 60-70,0,0,0.98,35.33,0,0,18.65,0,1.96,0,153.12,0.98,0,0.98,0,0,0,31.41
 72-82,0,0.98,0.98,28.47,0,0,12.76,0,0.98,0,77.55,0,0,1.96,0,0,0,11.78
 84-94,0,1.06,0,19.12,0,1.06,10.62,0,1.06,0,56.29,0,0,0,0,0,0,7.43
 96-106,0,0,1.09,8.74,0,0,6.56,0,5.46,0,30.6,0,0,0,0,0,0,3.28
108-118,0,0,3.83,13.02,0,0,4.6,0,1.53,0,40.6,0,0,0.77,0,0,0,4.6
120,0,0,0,7.84,0,0,9.8,1.96,1.96,0,37.24,0,0,1.96,0,1.96,0,0
