stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82,31.19,0.82,0,0,0,4.93,0,0
 36-46,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0.81,0,98.29,6.45,0,0,0,20.95,0,0
 48-58,0,0,0,0,0,18.94,0,0,4.59,0,0,0,0,0,0,0.57,1.72,0,109.02,1.72,0,0,0,13.2,0.57,0
 60-70,0,0,0,0,0,61.84,0,0,3.93,0,0,0,0,0,0,0,0.98,0,280.72,0,0,0,0,28.46,0,0.98
 72-82,0,0,1.96,0,0,57.92,0,0.98,5.89,0,0,0,0.98,0,0.98,0,1.96,0,181.61,5.89,0,0,0,20.61,0.98,0
 84-94,0,0,0,0,0,43.54,0,0,3.19,0,0,0,1.06,0,0,0,2.12,1.06,92.4,4.25,0,0,0,10.62,1.06,0
 96-106,0,0,0,0,1.09,40.44,0,0,8.74,2.19,1.09,0,0,0,0,0,3.28,0,79.78,7.65,1.09,0,0,4.37,1.09,0
108-118,0,0,0.77,0,0,18.38,0.77,0,4.6,0,0.77,0,0,0,0,0,2.3,0,86.55,2.3,1.53,0,0,1.53,0,0
120,0,0,0,1.96,0,15.68,0,0,7.84,0,0,0,0,1.96,0,0,3.92,1.96,76.43,0,0,0,0,1.96,1.96,0
