stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,39.53,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,42.06,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,37.76,0,0,12.59,0,0,3.15,0,0,0,0
 14-21,0,0,2,1,3,0,0,0,0,0,10,0,0,1,1,19,1,0,0,0,2,0,1,5,0,0
 24-34,0,0,0,0,0.82,0,0.82,0,0,0,51.71,0,0,3.28,0.82,11.49,0.82,0,0,0.82,0,0,0,2.46,4.1,0
 36-46,0,0,0,0,0.81,0.81,0,0,0,0,71.7,0,0,0,0,9.67,1.61,0,0,0,0,0,0,2.42,3.22,0
 48-58,0,0,1.15,0,1.15,0.57,0.57,0,0,0,92.38,0,0,0.57,0.57,3.44,0,0,0,0,0,0,0,1.72,4.02,0
 60-70,0,0,0,0,2.94,0,0,0,0,0,69.69,0,0,0.98,0.98,0.98,0,0,0,0,0,0,0,0,3.93,0
 72-82,0,0,0,0.98,0.98,0,1.96,0,0,0,120.74,0,0,3.93,0,3.93,0,0,0,0,0,0,0,0,6.87,0.98
 84-94,0,0,0,0,1.06,1.06,2.12,2.12,0,0,159.31,0,0,2.12,0,2.12,0,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,3.28,0,5.46,0,0,2.19,195.62,2.19,1.09,4.37,0,3.28,0,0,0,4.37,0,0,0,0,10.93,0
108-118,0,0,0,3.83,2.3,0,2.3,0.77,0,0,162.38,0,0,1.53,0,2.3,0,0,0,0,0,0,0,0,4.6,0
120,0,0,0,0,1.96,0,3.92,0,0,0,194.02,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0,7.84,1.96
